U00;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
78500;Head of State;Juan José Ibarretxe;2003;SC;Popular Figurehead;High;M_U00_juan_josé_ibarretxe;x
78501;Head of Government;Artur Mas i Gavarró;2003;SC;Silent Workhorse;High;M_U00_artur_mas_i_gavarró;x
78502;Foreign Minister;Iñigo Iturrate;2003;SC;Great Compromiser;High;M_U00_iñigo_iturrate;x
78503;Minister of Armament;Jordi Casas;2003;SC;Resource Industrialist;High;M_U00_jordi_casas;x
78504;Minister of Security;Dolors Batalla;2003;SC;Crime Fighter;High;M_U00_dolors_batalla;x
78505;Head of Military Intelligence;Duran Lleida;2003;SC;Technical Specialist;High;M_U00_duran_lleida;x
78506;Chief of Staff;Xavier Trias;2003;SC;School of Defence;High;M_U00_xavier_trias;x
78507;Chief of Army;Unknown;2003;SC;Guns and Butter Doctrine;High;Unknown;x
78508;Chief of Navy;Gonzalo Saenz de Samaniego;2003;SC;Open Seas Doctrine;High;M_U00_gonzalo_saenz_de_samaniego;x
78509;Chief of Air Force;Unknown;2003;SC;Naval Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;
78511;Head of Government;Josep-Lluis Carod Robira;2003;SL;Political Protege;High;M_U00_josep-lluis_carod_robira;x
78512;Head of State;Arnaldo Otegui;2003;SL;Ruthless Powermonger;High;M_U00_arnaldo_otegui;x
78513;Foreign Minister;Carme Capdevila;2003;SL;Biased Intellectual;High;M_U00_carme_capdevila;x
78514;Chief of Staff;Joan Puigcercós;2003;SL;School of Psychology;High;M_U00_joan_puigcercós;x
