AFG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1;Head of State;Hamid Karzai;1003;FA;Powerhungry Demagogue;High;M_AFG_hamid_karzai;x
2;Head of Government;Hamid Karzai;1003;FA;Political Protege;High;M_AFG_hamid_karzai;x
3;Foreign Minister;Abdullah Abdullah;1003;FA;Iron Fisted Brute;High;M_AFG_abdullah_abdullah;x
4;Minister of Armament;Mohammad Qaseem Fahim;1003;FA;Infantry Proponent;High;M_AFG_mohammad_qaseem_fahim;x
5;Minister of Security;Abdul Rahim Karimi;1003;FA;Prince of Terror;High;M_AFG_abdul_rahim_karimi;x
6;Head of Military Intelligence;Mr X;1003;FA;Dismal Enigma;High;Unknown;x
7;Chief of Staff;Mohammad Qaseem Fahim;1003;FA;School of Defence;High;M_AFG_mohammad_qaseem_fahim;x
8;Chief of Army;Mohammad Qaseem Fahim;1003;FA;Static Defence Doctrine;High;M_AFG_mohammad_qaseem_fahim;x
9;Chief of Navy;Mohammad Qaseem Fahim;1003;FA;Decisive Naval Battle Doctrine;High;M_AFG_mohammad_qaseem_fahim;x
10;Chief of Air Force;Mohammad Qaseem Fahim;1003;FA;Army Aviation Doctrine;High;M_AFG_mohammad_qaseem_fahim;x
