ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
501;Head of State;Alfred Moisiu;2003;SD;Insignificant Layman;High;M_ALB_alfred_moisiu;x
502;Head of Government;Fatos Nano;2003;SD;Ambitious Union Boss;High;M_ALB_fatos_nano;x
503;Foreign Minister;Ilir Meta;2003;SD;Biased Intellectual;High;M_ALB_ilir_meta;x
504;Minister of Armament;Pandeli Majko;2003;SD;Corrupt Kleptocrat;High;M_ALB_pandeli_majko;x
505;Minister of Security;Luan Rama;2003;SD;Silent Lawyer;High;M_ALB_luan_rama;x
506;Head of Military Intelligence;Aldo Bumci;2003;SD;Logistics Specialist;High;M_ALB_aldo_bumci;x
507;Chief of Staff;Pellumb Qazimi;2003;NA;School of Psychology;High;M_ALB_pellumb_qazimi;x
508;Chief of Army;Kostaq Karoli;2003;NA;Elastic Defense Doctrine;High;M_ALB_kostaq_karoli;x
509;Chief of Navy;Kudret Cela;2003;NA;Open Seas Doctrine;High;M_ALB_kudret_cela;x
510;Chief of Air Force;Astrit Jaupi;2003;NA;Army Aviation Doctrine;High;M_ALB_astrit_jaupi;x
;Replacements;;;;;;;x
511;Head of State;Alfred Moisiu;2003;ML;Insignificant Layman;High;M_ALB_alfred_moisiu;x
512;Head of Government;Sali Berisha;2005;SD;Silent Workhorse;High;M_ALB_sali_berisha;x
513;Head of State;Bamir Topi;2007;ML;Popular Figurehead;High;M_ALB_bamir_topi;x
514;Foreign Minister;Besnik Mustafaj;2005;SD;Apologetic Clerk;High;M_ALB_besnik_mustafaj;x
515;Foreign Minister;Kastriot Islami;2003;SD;Iron Fisted Brute;Medium;M_ALB_kastriot_islami;x
516;Foreign Minister;Lulzim Basha;2007;ML;Apologetic Clerk;High;M_ALB_lulzim_basha;x
517;Minister of Armament;Fatmir Mediu;2005;SC;Infantry Proponent;High;M_ALB_fatmir_mediu;x
518;Minister of Armament;Gazmend Oketa;2008;SC;Administrative Genius;High;M_ALB_gazmend_oketa;x
519;Minister of Security;Aldo Bumci;2003;SD;Man of the People;High;M_ALB_aldo_bumci;x
520;Minister of Security;Igli Toska;2003;SD;Crime Fighter;High;M_ALB_igli_toska;x
521;Minister of Security;Sokol Olldashi;2005;ML;Silent Lawyer;High;M_ALB_sokol_olldashi;x
522;Minister of Security;Bujar Nishani;2007;ML;Back Stabber;High;M_ALB_bujar_nishani;x
523;Head of Government;Skënder Gjinushi;2003;SL;Naive Optimist;High;M_ALB_skënder_gjinushi;x
524;Head of State;Neritan Ceka;2003;SL;Popular Figurehead;High;M_ALB_neritan_ceka;x
525;Foreign Minister;Pellumb Qazimi;2008;ML;General Staffer;High;M_ALB_pellumb_qazimi;x
526;Chief of Staff;Maksim Malaj;2008;NA;School of Defence;High;M_ALB_maksim_malaj;x
527;Chief of Staff;Zyber Dushku;2010;NA;School of Psychology;High;M_ALB_zyber_dushku;x
528;Chief of Staff;Kostaq Karoli;2006;NA;School of Fire Support;High;M_ALB_kostaq_karoli;x
529;Foreign Minister;Zef Bushati;2003;ML;Great Compromiser;High;M_ALB_zef_bushati;x
530;Foreign Minister;Lublin Dilja;2007;ML;Apologetic Clerk;High;M_ALB_lublin_dilja;x
531;Minister of Armament;Sali Kelmendi;2003;ML;Laissez-Faire Capitalist;High;M_ALB_sali_kelmendi;x
532;Head of State;Hysni Milloshi;2003;LE;Weary Stiffneck;High;M_ALB_hysni_milloshi;x
