ALG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1001;Head of State;Abdelaziz Bouteflika;2003;LWR;Popular Figurehead;High;M_ALG_abdelaziz_bouteflika;x
1002;Head of Government;Ali Benflis;2003;LWR;Flamboyant Tough Guy;High;M_ALG_ali_benflis;x
1003;Foreign Minister;Abdelaziz Belkhadem;2003;LWR;Biased Intellectual;High;M_ALG_abdelaziz_belkhadem;x
1004;Minister of Armament;Hacène Gherabi;2003;LWR;Tank Proponent;High;Unknown;x
1005;Minister of Security;Noureddine Yazid Zerhouni;2003;LWR;Crime Fighter;High;M_ALG_noureddine_yazid_zerhouni;x
1006;Head of Military Intelligence;Smain Lamari;2003;LWR;Logistics Specialist;High;Unknown;x
1007;Chief of Staff;Tahar Khaoua;2003;LWR;School of Defence;High;Unknown;x
1008;Chief of Army;Mohamed Lamari;2003;NA;Guns and Butter Doctrine;High;M_ALG_mohamed_lamari;x
1009;Chief of Navy;Unknown;2003;LWR;Open Seas Doctrine;High;Unknown;x
1010;Chief of Air Force;Unknown;2003;LWR;Naval Aviation Doctrine;High;Unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1011;Head of Government;Abdelaziz Belkhadem;2003;LWR;Flamboyant Tough Guy;High;M_ALG_abdelaziz_belkhadem;x
1012;Head of Government;Ahmed Ouyahia;2003;LWR;Silent Workhorse;High;M_ALG_ahmed_ouyahia;x
1013;Foreign Minister;Reguieg Bentabet;2003;LWR;Great Compromiser;High;M_ALG_reguieg_bentabet;x
1014;Foreign Minister;Mohammed Bedjaoui;2003;LWR;Great Compromiser;High;M_ALG_mohammed_bedjaoui;x
1015;Foreign Minister;Mourad Medelci;2003;LWR;Apologetic Clerk;High;M_ALG_mourad_medelci;x
1016;Minister of Armament;Abdelmalek Guenaizia;2003;LWR;Resource Industrialist;High;M_ALG_abdelmalek_guenaizia;x
1017;Head of State;Saad Abdallah Djaballah;2003;FA;Barking Buffoon;High;M_ALG_saad_abdallah_djaballah;x
1018;Head of Government;Anwar Haddam;2003;FA;Flamboyant Tough Guy;High;M_ALG_anwar_haddam;x
1019;Minister of Security;Ali Belhadj;2003;NS;Prince of Terror;High;M_ALG_ali_belhadj;x
1020;Minister of Armament;Abdelwahid Bouabdallah;2003;SD;Laissez Faires Capitalist;High;M_ALG_abdelwahid_bouabdallah;x
1021;Head of Government;Abdelwahid Bouabdallah;2003;SD;Corporate Suit;High;M_ALG_abdelwahid_bouabdallah;x
1022;Minister of Armament;Abderrachid Boukerzaza;2003;SD;Theoretical Scientist;High;M_ALG_abdelrrachid_boukerzaza;x
1023;Foreign Minister;Said Djinnit;2003;ML;Great Compromiser;High;M_ALG_said_djinnit;x
1024;Minister of Armament;Amar Ghoul;2003;LWR;Theoretical Scientist;High;M_ALG_amar_ghoul;x
1025;Head of State;Louisa Hanoune;2003;ST;Die-hard Reformer;High;M_ALG_louisa_hanoune;x
1026;Foreign Minister;Rabeh Kebir;2003;FA;Ideological Crusader;High;M_ALG_rabeh_kebir;x
1027;Head of State;Ali Fawzi Rebaine;2003;SL;Benevolent Gentleman;High;M_ALG_ali_fawzi_rebaine;x
1028;Head of Government;Said Saidi;2003;SL;Corporate Suit;High;M_ALG_said_saidi;x
1029;Minister of Security;Bouguerra Soltani;2003;PA;Man of the People;High;M_ALG_bougerra_soltani;x
1030;Foreign Minister;Youcef Yousfi;2003;SD;Biased Intellectual;High;M_ALG_youcef_yousfi;x
1031;Head of Military Intelligence;Mohamed Mediene;2003;LWR;Political Specialist;High;Unknown;x
1032;Chief of Army;Ahmed Gaid Salah;2003;NA;Elastic Defence Doctrine;High;M_ALG_ahmed_gaid_salah;x
1033;Minister of Armament;Liamine Zéroual;2003;PA;Military Entrepreneur;High;M_ALG_liamine_zeroual;x
1034;Minister of Armament;Madani Mezrag;2003;NS;Infantry Proponent;High;M_ALG_madani_mezrag;x
1035;Head of Military Intelligence;Abdelkader Chebouti;2003;NS;Dismal Enigma;High;Unknown;x
