ALS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
94001;Head of State;Vladislav Ardzinba;2003;SC;Insignificant Layman;High;M_ALS_vladislav_ardzinba;x
94002;Head of Government;Gennady Gagulia;2003;SC;Backroom Backstabber;High;M_ALS_gennady_gagulia;x
94003;Foreign Minister;Sergey Shamba;2003;SC;Iron Fisted Brute;High;M_ALS_sergey_shamba;x
94004;Minister of Armament;Merab Kishmariya;2003;SC;Tank Proponent;High;Unknown;x
94005;Minister of Security;Otar Khetsiya;2003;SC;Crime Fighter;High;Unknown;x
94006;Head of Military Intelligence;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
94007;Chief of Staff;Anatoly Zaitsev;2003;SC;School of Fire Support;High;Unknown;x
94008;Chief of Army;Sultan Sosnaliev;2003;SC;Elastic Defence Doctrine;High;Unknown;x
94009;Chief of Navy;Vyacheslav Eshba;2003;SC;Indirect Approach Doctrine;High;Unknown;x
94010;Chief of Air Force;Vyacheslav Eshba;2003;SC;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;
94011;Head of State;Sergei Bagapsh;2005;SC;Insignificant Layman;High;M_ALS_sergei_bagapsh;x
94012;Head of Government;Sergei Bagapsh;2003;SC;Political Protege;High;M_ALS_sergei_bagapsh;x
94013;Head of Government;Raul Khadjimba;2003;SC;Flamboyant Tough Guy;High;M_ALS_raul_khadjimba;x
94014;Head of Government;Nodar Khashba;2004;SC;Backroom Backstabber;High;M_ALS_nodar_khashba;x
94015;Head of Government;Alexandr Ankvab;2005;SC;Corporate Suit;High;M_ALS_alexandr_ankvab;x
94016;Foreign Minister;Gueorgui Otyrba;2004;SC;Great Compromiser;High;Unknown;x
94017;Foreign Minister;Igor Akhba;2004;SC;Undistinguished Suit;High;Unknown;x
94018;Minister of Security;Gari Kupalba;2006;SC;Prince of Terror;High;Unknown;x
94019;Minister of Armament;Gari Kupalba;2008;SC;Infantry Proponent;High;Unknown;x
