ANG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1501;Head of State;Jose Eduardo Dos Santos;2003;LWR;Resigned Generalissimo;High;M_ANG_jose_eduardo_dos_santos;x
1502;Head of Government;Jose Eduardo Dos Santos;2003;LWR;Corporate Suit;High;M_ANG_jose_eduardo_dos_santos;x
1503;Foreign Minister;Joao Bernardo De Miranda;2003;LWR;Great Compromiser;High;M_ANG_joao_bernardo_de_miranda;x
1504;Minister of Armament;Joaquim Duarte da Costa David;2003;LWR;Resource Industrialist;High;M_ANG_joaquin_duarte_da_costa_david;x
1505;Minister of Security;Kundi Paihama;2003;LWR;Crime Fighter;High;M_ANG_kundi_paihama;x
1506;Head of Military Intelligence;Noureddine Benzaim;2003;LWR;Dismal Enigma;High;Unknown;x
1507;Chief of Staff;Armando de Cruz Neto;2003;LWR;School of Defence;High;M_ANG_armando_de_cruz_neto;x
1508;Chief of Army;Mateus Miguel Angola;2003;LWR;Guns and Butter Doctrine;High;Unknown;x
1509;Chief of Navy;Feliciano Antonio dos Santos;2003;LWR;Open Seas Doctrine;High;Unknown;x
1510;Chief of Air Force;Francisco Lopes Goncalves Afonso;2003;LWR;Naval Aviation Doctrine;High;Unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
