ARA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
74001;Head of State;Rauf Denktas;2003;SC;Stern Imperialist;High;M_ARA_rauf_denktas;x
74002;Head of Government;Dervis Eroglu;2003;SC;Silent Workhorse;High;M_ARA_dervis_eroglu;x
74003;Foreign Minister;Turgay Avci;2003;SC;Great Compromiser;High;M_ARA_turgay_avci;x
74004;Minister of Armament;No Military;2003;SC;Undistinguished Suit;High;Unknown;x
74005;Minister of Security;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
74006;Head of Military Intelligence;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
74007;Chief of Staff;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
74008;Chief of Army;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
74009;Chief of Navy;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
74010;Chief of Air Force;Undistinguished Suit;2003;SC;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
74011;Head of State;Mehmet Ali Talat;2003;SL;Autocratic Charmer;High;M_ARA_mehmet_ali_talat;x
74012;Head of Government;Mehmet Ali Talat;2003;SL;Ambitious Union Boss;High;M_ARA_mehmet_ali_talat;x
74013;Head of Government;Ferdi Sabit Soyer;2005;SL;Corporate Suit;High;M_ARA_ferdi_sabit_soyer;x
74014;Minister of Security;Özkan Murat;2003;SL;Silent Lawyer;High;M_ARA_ozkan_murat;x
