ARM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3001;Head of State;Robert Kocharyan;2003;SC;Autocratic Charmer;High;M_ARM_robert_kocharyan;x
3002;Head of Government;Andranik Margaryan;2003;SC;Corporate Suit;High;M_ARM_andranik_margaryan;x
3003;Foreign Minister;Vardan Oskanyan;2003;SC;General Staffer;High;M_ARM_vardan_oskanyan;x
3004;Minister of Armament;Serzh Sargsyan;2003;SC;Infantry Proponent;High;M_ARM_serzh_sargsyan;x
3005;Minister of Security;David Harutyunyan;2003;SC;Efficient Sociopath;High;M_ARM_david_harutyunyan;x
3006;Head of Military Intelligence;Basentsi Azoyan;2003;SC;Dismal Enigma;High;M_ARM_basentsi_azoyan;x
3007;Chief of Staff;Mikael Arutyunian;2003;NA;School of Defence;High;M_ARM_mikael_arutyunian;x
3008;Chief of Army;Mikael Arutyunian;2003;NA;Elastic Defence Doctrine;High;M_ARM_mikael_arutyunian;x
3009;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x
3010;Chief of Air Force;Unknown;2003;NA;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
3011;Head of State;Serzh Sargsyan;2008;SC;Weary Stiffneck;High;M_ARM_serzh_sargsyan;x
3012;Head of Government;Serzh Sargsyan;2007;SC;Silent Workhorse;High;M_ARM_serzh_sargsyan;x
3013;Head of Government;Tigran Sargsyan;2008;SC;Silent Workhorse;High;M_ARM_tigran_sargsyan;x
3014;Minister of Armament;Mikael Arutyunian;2003;SC;Military Entrepreneur;High;M_ARM_mikael_arutyunian;x
3015;Minister of Armament;Seyran Ohanyan;2008;SC;Military Entrepreneur;High;M_ARM_seyran_ohanyan;x
3016;Chief of Army;Seyran Ohanyan;2008;NA;Decisive Battle Doctrine;High;M_ARM_seyran_ohanyan;x
3017;Chief of Staff;Seyran Ohanyan;2008;NA;School of Manoeuvre;High;M_ARM_seyran_ohanyan;x
3018;Foreign Minister;Eduard Nalbandyan;2003;SC;Ideological Crusader;High;M_ARM_eduard_nalbandyan;x
3019;Minister of Security;Gevorg Danielyan;2006;SC;Crooked Kleptocrat;High;M_ARM_gevorg_danielyan;x
3020;Head of State;Artur Baghdasarian;2003;SL;Benevolent Gentleman;High;M_ARM_artur_baghdasarian;x
3021;Minister of Armament;Stepan Demirchyan;2003;LWR;Resource Industrialist;High;M_ARM_stepan_demirchyan;x
3022;Minister of Armament;Artashes Geghamyan;2003;SC;Administrative Genius;High;M_ARM_artashes_geghamyan;x
3023;Foreign Minister;Raffi Hovannisian;2003;SL;Great Compromiser;High;M_ARM_raffi_hovannisian;x
3024;Head of State;Vahan Hovhannisyan;2003;LWR;Stern Imperialist;High;M_ARM_raffi_hovannisian;x
3025;Head of Government;Hrant Markarian;2003;LWR;Flamboyant Tough Guy;High;M_ARM_hrant_markarian;x
3026;Foreign Minister;Armen Martirossian;2003;SC;Apologetic Clerk;High;M_ARM_armen_martirossian;x
3027;Foreign Minister;Armen Sargsyan;2003;ML;Great Compromiser;High;M_ARM_armen_sargsyan;x
3028;Foreign Minister;Aram Gasparovich Sarkisyan;2003;LWR;Ideological Crusader;High;Unknown;x
3029;Chief of Staff;Mikael Arutyunian;2003;NA;School of Defence;High;M_ARM_mikael_arutyunian;x
3030;Chief of Army;Mikael Arutyunian;2003;NA;Decisive Battle Doctrine;High;M_ARM_mikael_arutyunian;x
3031;Minister of Armament;Gurgen Daribaltayan;2005;SC;Tank Proponent;High;Unknown;x
3032;Chief of Staff;Yuri Khachaturov;2008;NA;School of Fire Support;High;M_ARM_yuri_khachaturov;x
3033;Chief of Army;Yuri Khachaturov;2003;NA;Elastic Defence Doctrine;High;M_ARM_yuri_khachaturov;x
3034;Chief of Army;Manuel Grigoryan;2006;NA;Elastic Defence Doctrine;High;M_ARM_manuel_grigoryan;x
3035;Chief of Staff;Manuel Grigoryan;2010;NA;School of Defence;High;M_ARM_manuel_grigoryan;x
3036;Chief of Army;Samvel Karapetyan;2005;NA;Armoured Spearhead Doctrine;High;M_ARM_samvel_karapetyan;x
3037;Head of State;Levon Ter-Petrossian;2003;ML;Benevolent Gentleman;High;M_ARM_levon_ter-petrossian;x
3038;Head of Government;Aram Sargsyan;2003;ML;Silent Workhorse;High;Unknown;x
3039;Chief of Army;Enriko Apriamov;2004;NA;Elastic Defence Doctrine;High;M_ARM_enriko_apriamov;x
3040;Minister of Armament;Eduard Gevorgyan;2003;NA;Military Entrepreneur;High;M_ARM_eduard_gevorgyan;x
3041;Head of Military Intelligence;Eduard Gevorgyan;2003;NA;Technical Specialist;High;M_ARM_eduard_gevorgyan;x
