AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3500;Head of State;Elizabeth II;2003;ML;Popular Figurehead;High;M_AST_elizabeth_ii;x
3501;Head of Government;John Howard;2003;ML;Political Protege;High;M_AST_john_howard;x
3502;Foreign Minister;Alexander Downer;2003;ML;Ideological Crusader;High;M_AST_alexander_downer;x
3503;Minister of Armament;Robert Hill;2003;ML;Administrative Genius;High;M_AST_robert_hill;x
3504;Minister of Security;Daryl Williams;2003;ML;Man of the People;High;M_AST_daryl_williams;x
3505;Head of Military Intelligence;Frank Lewincamp;2003;NA;Political Specialist;High;M_AST_frank_lewincamp;x
3506;Chief of Staff;Peter Cosgrove;2003;NA;School of Manoeuvre;High;M_AST_peter_cosgrove;x
3507;Chief of Army;Peter Leahy;2003;NA;Decisive Battle Doctrine;High;M_AST_peter_leahy;x
3508;Chief of Navy;Chris Ritchie;2003;NA;Open Seas Doctrine;High;M_AST_chris_ritchie;x
3509;Chief of Air Force;Allan Grant Houston;2003;NA;Army Aviation Doctrine;High;M_AST_allan_grant_houston;x
;Replacements;;;;;;;x 
3511;Minister of Security;Peter Dutton;2010;ML;Crime Fighter;High;M_AST_peter_dutton;x
3512;Head of Government;Mark Latham;2003;SD;Flamboyant Tough Guy;High;M_AST_mark_latham;x
3513;Minister of Armament;Brendan Nelson;2003;ML;Battle Fleet Proponent;High;M_AST_brendan_nelson;x
3514;Minister of Armament;Joel Fitzgibbon;2006;SD;Air Superiority Proponent;High;M_AST_joel_fitzgibbon;x
3515;Head of Government;Kevin Rudd;2007;SD;Silent Workhorse;High;M_AST_kevin_rudd;x
3516;Minister of Security;Phillip Ruddock;2003;ML;Silent Lawyer;High;M_AST_phillip_ruddock;x
3517;Minister of Security;Robert McClelland;2003;SD;Crime Fighter;High;M_AST_robert_mcclelland;x
3518;Foreign Minister;Stephen Smith;2003;SD;Great Compromiser;High;M_AST_stephen_smith;x
