AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4500;Head of State;Thomas Klestil;2003;ML;Benevolent Gentleman;High;M_AUS_thomas_klestil;x
4501;Head of Government;Wolfgang Schüssel;2003;ML;Silent Workhorse;High;M_AUS_wolfgang_schüssel;x
4502;Foreign Minister;Benita Ferrero-Waldner;2003;ML;Great Compromiser;High;M_AUS_benita_ferrero-waldner;x
4503;Minister of Armament;Günther Platter;2003;ML;Administrative Genius;High;M_AUS_günther_platter;x
4504;Minister of Security;Ernst Strasser;2003;ML;Silent Lawyer;High;M_AUS_ernst_strasser;x
4505;Head of Military Intelligence;Fritz Weber;2003;NA;Logistics Specialist;High;Unknown;x
4506;Chief of Staff;Roland Ertl;2003;NA;School of Defence;High;M_AUS_roland_ertl;x
4507;Chief of Army;Edmund Entacher;2003;NA;Guns and Butter Doctrine;High;M_AUS_edmund_entacher;x
4508;Chief of Navy;None;2003;NA;Undistinguished Suit;High;Unknown;x
4509;Chief of Air Force;Erich Wolf;2003;NA;Air Superiority Doctrine;High;M_AUS_erich_wolf;x
;Replacements;;;;;;;x
4510;Head of State;Heinz Fischer;2004;SD;Popular Figurehead;High;Unknown;x
4511;Head of State;Benita Ferrero-Waldner;2004;ML;Benevolent Gentleman;High;M_AUS_benita_ferrero-waldner;x
4512;Head of State;Erwin Pröll;2010;ML;Die-hard Reformer;High;M_AUS_erwin_pröll;x
4513;Head of Government;Alfred Gusenbauer;2006;SD;Backroom Backstabber;High;M_AUS_alfred_gusenbauer;x
4514;Head of Government;Werner Faymann;2008;SD;Naive Optimist;High;M_AUS_werner_faymann;x
4515;Foreign Minister;Ursula Plassnik;2003;ML;Ideological Crusader;High;M_AUS_ursula_plassnik;x
4516;Foreign Minister;Michael Spindelegger;2003;SD;Biased Intellectual;High;M_AUS_michael_spindelegger;x
4517;Minister of Armament;Norbert Darabos;2006;SD;Corrupt Kleptocrat;High;M_AUS_norbert_darabos;x
4518;Minister of Security;Maria Fekter;2008;ML;Silent Lawyer;High;M_AUS_maria_fekter;x
4519;Minister of Security;Günther Platter;2003;ML;Compassionate Gentleman;High;M_AUS_günther_platter;x
4520;Head of State;Jörg Haider;2003;PA;Benevolent Gentleman;High;M_AUS_jörg_haider;x
4521;Minister of Armament;Peter Westenthaler;2003;PA;Resource Industrialist;High;M_AUS_peter_westenthaler;x
4522;Minister of Security;Heinz-Christian Strache;2005;PA;Crime Fighter;High;M_AUS_heinz-christian_strache;x
4523;Minister of Armament;Christian Buchmann;2003;ML;Laissez-Faire Capitalist;High;M_AUS_christian_buchmann;x
4524;Minister of Security;Caspar Einem;2003;SD;Crime Fighter;High;M_AUS_caspar_einem;x
4525;Head of Government;Gerhard Dörfler;2003;PA;Silent Workhorse;High;M_AUS_gerhard_dörfler;x
4526;Foreign Minister;Martin Graf;2003;PA;Biased Intellectual;High;M_AUS_martin_graf;x
4527;Head of State;Ursula Haubner;2008;PA;Weary Stiffneck;High;M_AUS_ursula_haubner;x
4528;Foreign Minister;Gerhard Pfanzelter;2003;SL;Great Compromiser;High;M_AUS_gerhard_pfanzelter;x
4529;Chief of Staff;Edmund Entacher;2005;NA;School of Fire Support;High;M_AUS_edmund_entacher;x
4530;Chief of Army;Günter Höfler;2003;NA;Guns and Butter Doctrine;High;M_AUS_günter_höfler;x
4531;Chief of Staff;Günter Höfler;2005;NA;School of Psychology;High;M_AUS_günter_höfler;x
4532;Head of Government;Wilhelm Molterer;2007;ML;Flamboyant Tough Guy;High;M_AUS_wilhelm_molterer;x
