AZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
5001;Head of State;Heydar Aliyev;1003;PA;Autocratic Charmer;High;M_AZB_heydar_aliyev;x
5002;Head of Government;Artur Rasizade;1003;PA;Flamboyant Tough Guy;High;M_AZB_artur_rasizade;x
5003;Foreign Minister;Vilayat Guliyev;1003;PA;Biased Intellectual;High;M_AZB_vilayet_guliyev;x
5004;Minister of Armament;Safar Abiyev;1003;PA;Military Entrepreneur;High;M_AZB_safar_abiyev;x
5005;Minister of Security;Ramil Usubov;1003;PA;Back Stabber;High;M_AZB_ramil_usubov;x
5006;Head of Military Intelligence;Fikret Mamedov;1003;PA;Logistics Specialist;High;Unknown;x
5007;Chief of Staff;Aleksandr Vasyak;1003;PA;School of Fire Support;High;Unknown;x
5008;Chief of Army;Aleksandr Vasyak;1003;PA;Guns and Butter Doctrine;High;Unknown;x
5009;Chief of Navy;Shahin Sultanov;1003;PA;Indirect Approach Doctrine;High;M_AZB_shahin_sultanov;x
5010;Chief of Air Force;Rail Rzayev;1003;PA;Army Aviation Doctrine;High;M_AZB_rail_rzayev;x
;Replacements;;;;;;;x
5011;Head of Government;Abbas Abbasov;1003;PA;Silent Workhorse;High;M_AZB_abbas_abbasov;x
5012;Head of Government;Elchin Efendiyev;1003;PA;Political Protege;High;M_AZB_elchin_efendiyev;x
5013;Head of Government;Yaqub Eyyubov;1003;PA;Naive Optimist;High;M_AZB_yagub_eyyubov;x
5014;Head of Government;Ali Hasanov;1003;PA;Backroom Backstabber;High;M_AZB_ali_hasanov;x
5015;Head of Government;Abid Sharifov;1003;PA;Corporate Suit;High;M_AZB_abid_sharifov;x
5016;Head of State;Ilham Aliyev;1003;PA;Powerhungry Demagogue;High;M_AZB_ilham_aliyev;x
5017;Head of Government;Ilham Aliyev;1003;PA;Political Protege;High;M_AZB_ilham_aliyev;x
5018;Foreign Minister;Elmar Mammadyarov;1003;PA;Iron Fisted Brute;High;M_AZB_elmar_mammadyarov;x
5019;Minister of Security;Fikret Mamedov;1003;PA;Prince of Terror;High;Unknown;x
5020;Minister of Armament;Natig Aliyev;1003;PA;Resource Industrialist;High;M_AZB_natig_aliyev;x
5021;Foreign Minister;Yasar Aliyev;1003;PA;Great Compromiser;High;Unknown;x
5022;Head of State;Isa Gambar;1003;SL;Benevolent Gentleman;High;M_AZB_isa_gambar;x
5023;Head of Government;Rasul Guliyev;1003;SL;Corporate Suit;High;M_AZB_rasul_guliyev;x
5024;Foreign Minister;Ali Karimli;1003;SL;Ideological Crusader;High;M_AZB_ali_karimli;x
5025;Minister of Security;Eldar Mahmudov;1003;PA;Crime Fighter;High;M_AZB_eldar_mahmudov;x
5026;Chief of Staff;Najmaddin Sadykhov;1005;NA;School of Defence;High;Unknown;x
5027;Chief of Army;Najmaddin Sadykhov;1003;NA;Elastic Defence Doctrine;High;Unknown;x
