BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
7501;Head of State;Albert II;2003;ML;Popular Figurehead;High;M_BEL_albert_ii;x
7502;Head of Government;Guy Verhofstadt;2003;ML;Naive Optimist;High;M_BEL_guy_verhofstadt;x
7503;Foreign Minister;Louis Michel;2003;ML;Ideological Crusader;High;M_BEL_louis_michel;x
7504;Minister of Armament;André Flahaut;2003;ML;Laissez Faires Capitalist;High;M_BEL_andré_flahaut;x
7505;Minister of Security;Antoine Duquesne;2003;ML;Silent Lawyer;High;M_BEL_antoine_duquesne;x
7506;Head of Military Intelligence;Michel Hellemans;2003;ML;Political Specialist;High;M_BEL_michel_hellemans;x
7507;Chief of Staff;August Van Daele;2003;ML;School of Fire Support;High;M_BEL_august_van_daele;x
7508;Chief of Army;Oger Pochet;2003;ML;Guns and Butter Doctrine;High;M_BEL_oger_pochet;x
7509;Chief of Navy;Michel Hellemans;2003;ML;Open Seas Doctrine;High;M_BEL_michel_hellemans;x
7510;Chief of Air Force;Michel Audrit;2003;ML;Air Superiority Doctrine;High;M_BEL_michel_audrit;x
;Replacements;;;;;;;
7511;Head of State;Albert II;2003;SL;Popular Figurehead;High;M_BEL_albert_ii;x
7512;Head of Government;Yves Leterme;2008;ML;Ambitious Union Boss;High;M_BEL_yves_leterne;x
7513;Foreign Minister;Karel De Gucht;2003;SL;Biased Intellectual;High;M_BEL_karel_de_gucht;x
7514;Minister of Armament;Pieter De Crem;2003;ML;Administrative Genius;High;M_BEL_pieter_de_crem;x
7515;Minister of Security;Patrick Dewael;2003;SL;Compassionate Gentleman;High;M_BEL_patrick_dewael;x
7516;Minister of Armament;Philippe Busquin;2003;SD;Theoretical Scientist;High;M_BEL_philippe_busquin;x
7517;Minister of Armament;Guy Coeme;2003;SD;Corrupt Kleptocrat;High;M_BEL_guy_coeme;x
7518;Foreign Minister;Berni Collas;2003;SL;Great Compromiser;High;M_BEL_berni_collas;x
7519;Minister of Security;Armand de Decker;2003;SL;Silent Lawyer;High;M_BEL_armand_de_decker;x
7520;Head of State;Daniel Féret;2003;FA;Power-Hungry Demagogue;High;M_BEL_daniel_féret;x
7521;Head of Government;Daniel Huygens;2003;FA;Political Protege;High;M_BEL_marino_keulen;x
7522;Minister of Security;Marino Keulen;2003;SL;Man of the People;High;Unknown;x
7523;Minister of Security;Karl-Heinz Lambertz;2003;SD;Crime Fighter;High;M_BEL_karl-heinz_lambertz;x
7524;Minister of Security;Luc Michel;2003;NS;Prince of Terror;High;M_BEL_luc_michel;x
7525;Foreign Minister;Annemie Neyts-Uyttebroeck;2003;SL;Great Compromiser;High;M_BEL_annemie_neyts-uyttebroeck;x
7526;Foreign Minister;Johan Verbeke;2003;SL;Great Compromiser;High;M_BEL_johan_verbeke;x
