BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
8501;Head of State;Mathieu Kérékou;2003;SD;Ruthless Powermonger;High;M_BEN_mathieu_kérékou;x
8502;Head of Government;Mathieu Kérékou;2003;SD;Flamboyant Tough Guy;High;M_BEN_mathieu_kérékou;x
8503;Foreign Minister;;2003;SD;;High;;x
8504;Minister of Armament;;2003;SD;;High;;x
8505;Minister of Security;;2003;SD;;High;;x
8506;Head of Military Intelligence;;2003;NA;;High;;x
8507;Chief of Staff;;2003;NA;;High;;x
8508;Chief of Army;;2003;NA;;High;;x
8509;Chief of Navy;;2003;NA;;High;;x
8510;Chief of Air Force;;2003;NA;;High;;x
