BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x 
7001;Head of State;Alexander Lukashenko;2003;LE;Pig-headed Isolationist;High;M_BLR_alexander_lukashenko;x 
7002;Head of Government;Gennady Novitsky;2003;LE;Political Protege;High;M_BLR_gennady_novitsky;x 
7003;Foreign Minister;Sergei Martynov;2003;LE;Great Compromiser;High;M_BLR_sergei_martynov;x 
7004;Minister of Armament;Leonid Maltsev;2003;LE;Corrupt Kleptocrat;High;M_BLR_leonid_maltsev;x 
7005;Minister of Security;Stepan Sukhorenko;2003;LE;Back Stabber;High;Unknown;x 
7006;Head of Military Intelligence;Stepan Sukhorenko;2003;LE;Dismal Enigma;High;Unknown;x 
7007;Chief of Staff;Sergei Gurulev;2003;LE;School of Defence;High;M_BLR_sergei_gurulev;x 
7008;Chief of Army;Stanislav Smolsky;2003;LE;Elastic Defence Doctrine;High;M_BLR_stanislav_smolsky;x 
7009;Chief of Air Force;Oleg Paferov;2003;LE;Air Superiority Doctrine;High;M_BLR_oleg_paferov;x 
7010;Chief of Navy;Unknown;2003;LA;Open Seas Doctrine;High;Unknown;
;Replacements;;;;;;;x 
7011;Head of State;Alexander Milinkevich;2003;SL;Diehard Reformer;High;M_BLR_alexander_milinkevich;x 
7012;Head of Government;Sergey Sidorsky;2003;LE;Political Protege;High;M_BLR_sergey_sidorsky;x 
7013;Head of Government;Anatoly Lebedko;2003;ML;Ambitious Union Boss;High;M_BLR_anatoly_lebedko;x 
7014;Foreign Minister;Alexander Dabravolski;2003;ML;Ideological Crusader;High;M_BLR_alexander_dabravolski;x 
7015;Minister of Armament;Nikolaj Statkevich;2003;SD;Resource Industrialist;High;M_BLR_nikolaj_statkevich;x
7016;Foreign Minister;Hienadz Buraukin;2003;LE;Biased Intellectual;High;M_BLR_hienadz_buraukin;x
7017;Head of Government;Alexander Dabravolski;2003;ML;Flamboyant Tough Guy;High;M_BLR_alexander_dabravolski;x
7018;Minister of Armament;Pavel Mariev;2003;LE;Resource Industrialist;High;M_BLR_pavelmariev;x
7019;Minister of Security;Vladimir Novosiad;2003;SL;Man of the People;High;M_BLR_vladimir_novosiad;x
7020;Head of State;Zianon Pazniak;2003;SC;Stern Imperialist;High;M_BLR_zianon_pazniak;x
7021;Minister of Armament;Jaroslav Romanchuk;2003;ML;Laissez Faires Capitalist;High;M_BLR_jaroslav_romanchuk;x
