BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9501;Head of State;Gonzalo Sánchez de Lozada;2003;SC;Weary Stiffneck;High;M_BOL_gonzalo_sánchez_de_lozoada;x
9502;Head of Government;Gonzalo Sánchez de Lozada;2003;SC;Corporate Suit;High;M_BOL_gonzalo_sánchez_de_lozoada;x
9503;Foreign Minister;Carlos Saavedra Bruno;2003;SC;Apologetic Clerk;High;M_BOL_carlos_saavedra_bruno;x
9504;Minister of Armament;Freddy Teodovich;2003;SC;Infantry Proponent;High;M_BOL_freddy_tedovich;x
9505;Minister of Security;Edgar Pardo;2003;SC;Back Stabber;High;M_BOL_edgar_pardo;x
9506;Head of Military Intelligence;Julio Valdivieso Schultze;2003;SC;Political Specialist;High;Unknown;x
9507;Chief of Staff;Roberto Claros;2003;SC;School of Manoeuvre;High;M_BOL_roberto_claros;x
9508;Chief of Army;Juan Véliz Herrera;2003;SC;Armoured Spearhead Doctrine;High;M_BOL_juan_véliz_herrera;x
9509;Chief of Navy;Luis Aranda Granados;2003;ML;Base Control Doctrine;High;M_BOL_luis_aranda_granados;x
9510;Chief of Air Force;José Quiroga;2003;SC;Army Aviation Doctrine;High;M_BOL_josé_quiroga;x
;Replacements;;;;;;;x
9511;Head of State;Carlos Mesa;2003;ML;Popular Figurehead;High;M_BOL_carlos_mesa;x
9512;Head of State;Evo Morales;2003;LWR;Die-hard Reformer;High;M_BOL_evo_morales;x
9513;Head of Government;Carlos Mesa;2003;ML;Happy Amateur;High;M_BOL_carlos_mesa;x
9514;Head of Government;Evo Morales;2003;LWR;Happy Amateur;High;M_BOL_evo_morales;x
9515;Foreign Minister;Juan Ignacio Siles;2003;ML;Great Compromiser;High;M_BOL_juan_ignacio_siles;x
9516;Minister of Armament;Carlos Sánchez Berzaín;2003;SC;Air Superiority Proponent;High;M_BOL_carlos sánchez_berzaín;x
9517;Minister of Armament;Gonzalo Arredondo;2003;ML;Infantry Proponent;High;M_BOL_gonzalo_arredondo;x
9518;Minister of Security;Jairo Sanabria;2003;SC;Crime Fighter;High;M_BOL_jairo_sanabria;x
9519;Minister of Security;David Aramayo;2003;ML;Crime Fighter;High;M_BOL_david_aramayo;x
9520;Head of Military Intelligence;Juan Carlos Saa;2003;ML;Political Specialist;High;M_BOL_juan_carlos_saa;x
9521;Chief of Staff;Luis Aranda Granados;2003;ML;School of Fire Support;High;Unknown;x
9522;Chief of Army;César López Saavedra;2003;ML;Elastic Defense Doctrine;High;M_BOL_césar_lópez_saavedra;x
9523;Chief of Navy;Marco Antonio Justiniano;2003;ML;Indirect Approach Doctrine;High;Unknown;x
9524;Chief of Air Force;Natalio Morales;2003;ML;Air Superiority Doctrine;High;Unknown;x
