BOS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10000;Head of State;Mirko Sarovic;2003;SC;Barking Buffoon;Medium;M_BOS_mirko_sarovic;x
10001;Head of Government;Adnan Terzic;2003;SC;Naive Optimist;High;M_BOS_adnan_terzic;x
10002;Foreign Minister;Mladen Ivanic;2003;SC;Apologetic Clerk;Medium;M_BOS_mladen_ivanic;x
10003;Minister of Armament;Nikola Radovanovic;2003;SC;Military Entrepreneur;Medium;M_BOS_nikola_radovanovic;x
10004;Minister of Security;Barisa Colak;2003;SC;Silent Lawyer;Medium;M_BOS_barisa_colak;x
10005;Head of Military Intelligence;Sredoje Novic;2003;SC;Political Specialist;Medium;M_BOS_sredoje_novic;x
10006;Chief of Staff;Sifet Podzic;2003;SC;School of Defence;Medium;M_BOS_sifet_podzic;x
10007;Chief of Army;Sifet Podzic;2003;SC;Elastic Defense Doctrine;Medium;M_BOS_sifet_podzic;x
10008;Chief of Navy;Sifet Podzic;2003;SC;Base Control Doctrine;Medium;M_BOS_sifet_podzic;x
10009;Chief of Air Force;Sifet Podzic;2003;SC;Army Aviation Doctrine;Medium;M_BOS_sifet_podzic;x
;Replacements;;;;;;;
10010;Head of State;Sulejman Tihic;2003;SC;Insignificant Layman;High;M_BOS_sulejman_tihic;x
10011;Head of State;Ivo Miro Jovic;2003;SC;Insignificant Layman;Medium;M_BOS_ivo_miro_jovic;x
10012;Head of State;Borislav Paravac;2003;FA;Powerhungry Demagogue;Medium;M_BOS_borislav_paravac;x
10013;Head of State;Beriz Belkic;2003;SC;Popular Figurehead;High;M_BOS_beriz_belkic;x
10014;Head of State;Bakir Izetbegovic;2003;SC;Powerhungry Demagogue;High;M_BOS_bakir_izetbegovic;x
10015;Head of State;Dragan Covic;2003;SC;Autocratic Charmer;High;M_BOS_dragan_covic;x
10016;Head of State;Zivko Radisic;2003;ML;Popular Figurehead;High;M_BOS_zivko_radisic;x
10017;Head of Government;Zlatko Lagumdzija;2003;SL;Flamboyant Tough Guy;High;M_BOS_zlatko_lagumdzija;x
10018;Head of Government;Mladen Ivanic;2003;SC;Political Protege;High;M_BOS_mladen_ivanic;x
10019;Head of Government;Haris Silajdzic;2003;SC;Corporate Suit;High;M_BOS_haris_silajdzic;x
10020;Head of Government;Bakir Izetbegovic;2003;SC;Political Protege;High;M_BOS_bakir_izetbegovic;x
10021;Head of Government;Milorad Dodik;2003;SL;Silent Workhorse;High;M_BOS_milorad_dodik;x
10022;Head of Government;Mladen Lijanovic;2003;ML;Ambitious Union Boss;High;M_BOS_mladen_lijanovic;x
10023;Head of Government;Ognjen Tadic;2003;FA;Backroom Backstabber;Medium;Unknown;x
10024;Foreign Minister;Zlatko Lagumdzija;2003;SC;Great Compromiser;High;M_BOS_zlatko_lagumdzija;x
10025;Foreign Minister;Haris Silajdzic;2003;SC;Ideological Crusader;High;M_BOS_haris_silajdzic;x
10026;Foreign Minister;Milorad Dodik;2003;SL;Great Compromiser;High;M_BOS_milorad_dodik;x
10027;Foreign Minister;Selim Beslagic;2003;SL;Great Compromiser;High;M_BOS_selim_beslagic;x
10028;Foreign Minister;Boro Bosic;2003;SC;Apologetic Clerk;High;M_BOS_boro_bosic;x
10029;Minister of Armament;Dragan Mikerevic;2003;SC;Corrupt Kleptocrat;High;M_BOS_dragan_mikerevic;x
10030;Minister of Armament;Kresimir Zubak;2003;ML;Infantry Proponent;High;M_BOS_kresimir_zubak;x
10031;Minister of Armament;Azra Hadziahmetovic;2003;SL;Laissez Faires Capitalist;High;M_BOS_azra_hadziahmetovic;x
10032;Minister of Armament;Nedzad Brankovic;2003;SC;Resource Industrialist;High;M_BOS_nedzad_brankovic;x
10033;Minister of Security;Ahmet Hadzipasic;2003;SC;Back Stabber;High;M_BOS_ahmet_hadzipasic;x
10034;Minister of Security;Kresimir Zubak;2003;SC;Prince of Terror;High;M_BOS_kresimir_zubak;x
10035;Minister of Security;Hasan Muratovic;2003;SC;Silent Lawyer;High;M_BOS_hasan_muratovic;x
10036;Minister of Security;Dragan Kalinic;2003;SC;Back Stabber;High;M_BOS_dragan_kalinic;x
10037;Head of Military Intelligence;Ivo Andric-Luzanski;2003;SC;Dismal Enigma;High;Unknown;x
10038;Head of Military Intelligence;Meliha Alic;2003;SC;Technical Specialist;High;M_BOS_meliha_alic;x
10039;Head of Military Intelligence;Munir Alibabic;2003;SL;Political Specialist;High;M_BOS_munir_alibabic;x
10040;Chief of Staff;Novica Simic;2003;SC;School of Fire Support;High;M_BOS_novica_simic;x
10041;Chief of Staff;Atif Dudakovic;2003;SC;School of Manoeuvre;High;Unknown;x
10042;Chief of Staff;Dusan Kukobat;2003;SC;School of Psychology;High;Unknown;x
10043;Chief of Army;Atif Dudakovic;2003;SC;Elastic Defense Doctrine;High;Unknown;x
10044;Chief of Army;Novica Simic;2003;SC;Decisive Battle Doctrine;High;M_BOS_novica_simic;x
10045;Chief of Army;Rasim Delic;2003;SL;Armoured Spearhead Doctrine;High;Unknown;x
10046;Chief of Navy;Atif Dudakovic;2003;SC;Power Projection Doctrine;High;Unknown;x
10047;Chief of Navy;Novica Simic;2003;SC;Base Control Doctrine;High;M_BOS_novica_simic;x
10048;Chief of Air Force;Vlado Gvozden;2003;SC;Army Aviation Doctrine;High;Unknown;x
10049;Chief of Air Force;Erdin Hrustic;2003;SL;Naval Aviation Doctrine;High;Unknown;x
