BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
1101;Head of State;Luís Inácio Lula da Silva;2003;LWR;Popular Figurehead;High;M_BRA_luís_inácio_lula_da_silva;x
1102;Head of Government;Luís Inácio Lula da Silva;2003;LWR;Happy Amateur;High;M_BRA_luís_inácio_lula_da_silva;x
1103;Minister of Armament;José Viegas Filho;2003;LWR;Air-to-Sea Proponent;High;M_BRA_josé_viegas_filho;x
1104;Foreign Minister;Celso Amorim;2003;SL;Biased Intellectual;High;M_BRA_celso_amorin;x
1105;Chief of Navy;Roberto de Guimarães;2003;NA;Base Control Doctrine;High;M_BRA_roberto_de_guimarães;x
1106;Chief of Army;Francisco de Albuquerque;2003;NA;Guns and Butter Doctrine;High;M_BRA_francisco_de_albuquerque;x
1107;Chief of Air Force;Luiz Carlos Bueno;2003;NA;Air Superiority Doctrine;High;M_BRA_luiz_carlos_bueno;x
1108;Head of Military Intelligence;Márcio Buzanelli;2003;NA;Technical Specialist;High;M_BRA_márcio_buzanelli;x
1109;Chief of Staff;Francisco de Albuquerque;2003;NA;School of Psychology;High;M_BRA_francisco_de_albuquerque;x
1110;Minister of Security;Márcio Thomaz Bastos;2003;SL;Silent Lawyer;High;M_BRA_márcio_thomaz_bastos;x
1111;Chief of Staff;José Alencar;2003;ML;School of Defence;High;M_BRA_josé_alencar;x
1112;Minister of Armament;Dilma Rousseff;2003;SD;Resource Industrialist;High;M_BRA_dilma_rousseff;x
1113;Head of State;Heloísa Helena;2003;LE;Die-hard Reformer;High;Unknown;x
1114;Head of Government;Heloísa Helena;2003;LE;Ambitious Union Boss;High;Unknown;x
1115;Foreign Minister;Luciana Genro;2003;LE;Iron Fisted Brute;High;Unknown;x
1116;Minister of Armament;João Alfredo;2003;LE;Administrative Genius;High;Unknown;x
1117;Head of State;Severino Cavalcanti;2003;FA;Barking Buffoon;High;Unknown;x
1118;Head of Government;Severino Cavalcanti;2003;FA;Corporate Suit;High;Unknown;x
1119;Minister of Armament;Ciro Nogueira;2003;PA;Laissez Faires Capitalist;High;Unknown;x
1120;Chief of Army;Jair Bolsonaro;2003;FA;Guns and Butter Doctrine;High;Unknown;x
1121;Head of State;José Serra;2003;ML;Insignificant Layman;High;Unknown;x
1122;Head of Government;José Serra;2003;ML;Silent Workhorse;High;Unknown;x
1123;Minister of Armament;Alberto Goldman;2003;SL;Theoretical Scientist;High;Unknown;x
1124;Head of State;Dom Luiz I;2003;PA;Autocratic Charmer;High;M_BRA_dom_luiz_i;x
1125;Head of Government;Enéas Ferreira Carneiro;2003;PA;Flamboyant Tough Guy;High;M_BRA_enéas_ferreira_carneiro;x
1126;Minister of Security;Paulo de Tarso Ramos Ribeiro;2003;ML;Back Stabber;High;M_BRA_paulo_de_tarso_ramos_ribeiro;x
1127;Head of State;Geraldo Alckmin;2003;SL;Benevolent Gentleman;High;M_BRA_geraldo_alckmin;x
1128;Head of Government;Geraldo Alckmin;2003;SL;Silent Workhorse;High;M_BRA_geraldo_alckmin;x
1129;Minister of Armament;Nelson Jobim;2003;SD;Laissez Faires Capitalist;High;M_BRA_nelson_jobmin;x
1130;Minister of Armament;Waldir Pires;2003;SD;Corrupt Kleptocrat;High;M_BRA_waldir_pires;x
1131;Minister of Armament;José Alencar;2003;SL;Laissez Faires Capitalist;High;M_BRA_josé_alencar;x
1132;Minister of Security;Tarso Genro;2003;SD;Compassionate Gentleman;High;M_BRA_tarso_genro;x
1133;Head of Military Intelligence;Paulo Fernando Lacerda;2003;NA;Dismal Enigma;High;M_BRA_paulo_fernando_lacerda;x
1134;Head of Military Intelligence;Wilson Roberto Trezza;2005;NA;Political Specialist;High;M_BRA_wilson_roberto_trezza;x
1135;Chief of Army;Enzo Peri;2003;NA;Guns and Butter Doctrine;High;M_BRA_enzo_peri;x
1136;Chief of Navy;Julio Soares de Moura Neto;2003;NA;Indirect Approach Doctrine;High;M_BRA_julio_soares_de_moura_neto;x
1137;Chief of Air Force;Juniti Saito;2003;NA;Air Superiority Doctrine;High;M_BRA_juniti_saito;x
1138;Minister of Security;Michel Temer;2003;ML;Crime Fighter;High;M_BRA_michel_temer;x
1139;Minister of Armament;Aécio Neves;2003;SL;Laissez Faires Capitalist;High;M_BRA_aécio_neves;x
1140;Foreign Minister;Sergio Guerra;2003;SL;Ideological Crusader;High;M_BRA_sergio_guerra;x
1141;Minister of Security;Eduardo Campos;2003;SD;Silent Lawyer;High;M_BRA_eduardo_campos;x
1142;Foreign Minister;Rodrigo Maia;2003;ML;Ideological Crusader;High;M_BRA_rodrigo_maia;x
1143;Head of State;Francisco Dornelles;2003;ML;Benevolent Gentleman;High;M_BRA_francisco_dornelles;x
1144;Head of Government;Francisco Dornelles;2003;ML;Flamboyant Tough Guy;High;M_BRA_francisco_dornelles;x
1145;Minister of Security;Ricardo Berzoini;2003;LWR;Man of the People;High;M_BRA_ricardo_berzoini;x
1146;Minister of Security;Esperidiao Amin;2003;ML;Laissez Faires Capitalist;High;M_BRA_esperidiao_amin;x
1147;Minister of Security;Luciano Bivar;2003;SL;Crime Fighter;High;M_BRA_luciano_bivar;x
1148;Minister of Security;Dario di Martino;2003;FA;Prince of Terror;High;Unknown;x
1149;Minister of Security;Denise Frossard;2003;SD;Silent Lawyer;High;M_BRA_denise_frossard;x
1150;Minister of Security;Marcelo Itagiba;2003;ML;Silent Lawyer;High;M_BRA_marcelo_itagiba;x
1151;Minister of Security;Gilmar Mendes;2003;SL;Crooked Kleptocrat;High;M_BRA_gilmar_mendes;x
1152;Chief of Staff;Enzo Peri;2003;NA;School of Fire Support;High;Unknown;x
1153;Head of State;Dilma Rousseff;2010;LWR;Die-hard Reformer;High;M_BRA_dilma_rousseff;x
1154;Head of Government;Dilma Rousseff;2010;LWR;Flamboyant Tough Guy;High;M_BRA_dilma_rousseff;x
1155;Head of State;Ciro Gomes;2010;SD;Benevolent Gentleman;High;M_BRA_ciro_gomes;x
1156;Head of Government;Ciro Gomes;2010;SD;Ambitious Union Boss;High;M_BRA_ciro_gomes;x
