BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
11501;Head of State;Georgi Parvanov;2003;ML;Benevolent Gentleman;High;M_BUL_georgi_parvanov;x
11502;Head of Government;Simeon Saxe-Coburg-Gotha;2003;ML;Corporate Suit;High;M_BUL_simeon_saxe-coburg-gotha;x
11503;Foreign Minister;Solomon Passy;2003;ML;Biased Intellectual;High;M_BUL_solomon_passy;x
11504;Minister of Armament;Milen Veltchev;2003;ML;Administrative Genius;High;M_BUL_milen_veltchev;x
11505;Minister of Security;Georgi Petkanov;2003;ML;Crime Fighter;High;M_BUL_georgi_petkanov;x
11506;Head of Military Intelligence;Valery Lazarov;2003;ML;Dismal Enigma;High;Unknown;x
11507;Chief of Staff;Nikola Kolev;2003;SL;School of Defence;High;M_BUL_nikola_kolev;x
11508;Chief of Army;Zlatan Stoikov;2003;ML;Static Defence Doctrine;High;M_BUL_zlatan_stoikov;x
11509;Chief of Navy;Emil Lyutzkanov;2003;ML;Decisive Naval Battle Doctrine;High;Unknown;x
11510;Chief of Air Force;Dimitar Georgiev;2003;ML;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
11511;Head of State;Georgi Parvanov;2003;SL;Benevolent Gentleman;High;M_BUL_georgi_parvanov;x
11512;Head of State;Petar Stoyanov;2003;SL;Benevolent Gentleman;High;M_BUL_petar_stoyanov;x
11513;Head of State;Petar Stoyanov;2003;ML;Benevolent Gentleman;High;M_BUL_petar_stoyanov;x
11514;Head of Government;Sergei Stanishev;2003;SD;Flamboyant Tough Guy;High;M_BUL_sergei_stanishev;x
11515;Foreign Minister;Vladimir Kisjov;2003;SL;Great Compromiser;High;Unknown;x
11516;Foreign Minister;Evgeni Kirilov;2003;SD;Ideological Crusader;High;M_BUL_evgeni_kirilov;x
11517;Minister of Armament;Plamen Oresharski;2003;SD;Theoretical Scientist;High;M_BUL_plamen_oresharski;x
11518;Minister of Armament;Atanas Paparizov;2003;SD;Laissez Faire Capitalist;High;M_BUL_atanas_paparizov;x
11519;Minister of Security;Emanuil Iordanov;2003;ML;Crooked Kleptocrat;High;Unknown;x
11520;Minister of Security;Mladen Cherveniakov;2003;SD;Man of the People;High;M_BUL_mladen_cherveniakov;x
11521;Chief of Staff;Miho Mihov;2003;ML;School of Psychology;High;M_BUL_miho_mihov;x
11522;Chief of Navy;Petar Petrov;2003;ML;Power Projection Doctrine;High;Unknown;x
11523;Foreign Minister;Zhan Videnov;2003;SD;Apologetic Clerk;High;Unknown;x
11524;Minister of Security;Stefan Sofiyanski;2003;ML;Silent Lawyer;High;M_BUL_stefan_sofiyanski;x
11525;Head of State;Volen Siderov;2003;FA;Pig-headed Isolationist;High;M_BUL_volen_siderov;x
11526;Head of Government;Volen Siderov;2003;FA;Flamboyant Tough Guy;High;M_BUL_volen_siderov;x
11527;Minister of Armament;Georgi Pirinski;2003;SD;Corrupt Kleptocrat;High;M_BUL_georgi_pirinski;x
11528;Head of State;Alexander Paunov;2003;LWR;Happy Amateur;High;M_BUL_alexander_paunov;x
11529;Minister of Armament;Angel Marin;2003;SD;Military Entrepreneur;High;M_BUL_angel_marin;x
11530;Foreign Minister;Meglena Kuneva;2005;SL;Biased Intellectual;High;M_BUL_meglena_kuneva;x
11531;Foreign Minister;Ivaylo Kalfin;2005;SL;Ideological Crusader;High;M_BUL_ivaylo_kalfin;x
11532;Foreign Minister;Konstantin Dimitrov;2003;ML;Great Compromiser;High;M_BUL_konstantin_dimitrov;x
11533;Foreign Minister;Desislav Chukolov;2007;FA;Ideological Crusader;High;M_BUL_desislav_chukolov;x
11534;Minister of Armament;Veselin Bliznakov;2003;SL;Theoretical Scientist;High;M_BUL_veselin_bliznakov;x
11535;Foreign Minister;Slavcho Binev;2003;FA;Apologetic Clerk;High;Unknown;x
11536;Minister of Armament;Radoslav Bozadzhiev;2008;SL;Administrative Genius;High;M_BUL_radoslav_bozadzhiev;x
11537;Minister of Armament;Simeon Nikolov;2003;SL;Resource Industrialist;High;M_BUL_simeon_nikolov;x
11538;Minister of Armament;Spas Panchev;2004;SD;Theoretical Scientist;High;M_BUL_spas_panchev;x
11539;Minister of Security;Rumen Petkov;2003;SD;Crime Fighter;High;M_BUL_rumen_petkov;x
