BUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
12501;Head of State;Than Shwe;2003;FA;Pig-headed Isolationist;High;M_BUR_than_shwe;x
12502;Head of Government;Than Shwe;2003;FA;Silent Workhorse;High;M_BUR_than_shwe;x
12503;Foreign Minister;Win Aung;2003;FA;Great Compromiser;High;M_BUR_win_aung;x
12504;Minister of Armament;Hla Tun;2003;FA;Resource Industrialist;High;M_BUR_hla_tun;x
12505;Minister of Security;Tin Hlaing;2003;FA;Crime Fighter;High;M_BUR_tin_hlaing;x
12506;Head of Military Intelligence;Khin Nyunt;2003;FA;School of Fire Support;High;M_BUR_khin_nyunt;x
12507;Chief of Staff;Maung Aye;2003;FA;School of Defence;High;M_BUR_maung_aye;x
12508;Chief of Army;Maung Aye;2003;FA;Guns and Butter Doctrine;High;M_BUR_maung_aye;x
12509;Chief of Navy;Kyi Min;2003;FA;Open Seas Doctrine;High;Unknown;x
12510;Chief of Air Force;Myat Hein;2003;FA;Naval Aviation Doctrine;High;M_BUR_myat_hein;x
;Replacements;;;;;;;
12511;Head of State;Aung San Suu Kyi;2003;SL;Die-Hard Reformer;High;M_BUR_aung_san_suu_kyi;x
12512;Head of Government;Khin Nyunt;2003;PA;Naive Optimist;High;M_BUR_khin_nyunt;x
12513;Head of Government;Soe Win;2004;FA;Flamboyant Tough Guy;High;M_BUR_soe_win;x
12514;Head of Government;Sein Win;2003;SL;Silent Workhorse;High;M_BUR_sein_win;x
12515;Foreign Minister;Sein Win;2003;SL;Ideological Crusader;High;M_BUR_sein_win;x
12516;Minister of Armament;U Bo Hla-Tint;2003;SL;Laissez faires capitalist;High;M_BUR_u_bo_hla-tint;x
12517;Minister of Security;Maung Oo;2004;FA;Back Stabber;High;M_BUR_maung_oo;x
12518;Minister of Security;Sann Aung;2003;SL;Silent Lawyer;High;Unknown;x
12519;Head of Military Intelligence;Maung Oo;2004;FA;Logistics Specialist;High;M_BUR_maung_oo;x
12520;Head of Military Intelligence;Tint Swe;2004;SL;Political Specialist;High;Unknown;x
