CAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
534001;Head of State;Paul Biya;2003;SL;Popular Figurehead;High;M_CAM_paul_biya;x
534002;Head of Government;Paul Biya;2003;SL;Political Protege;High;M_CAM_paul_biya;x
534003;Minister of Armament;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534004;Foreign Minister;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534005;Chief of Navy;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534006;Chief of Army;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534007;Chief of Air Force;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534008;Head of Military Intelligence;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534009;Chief of Staff;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
534010;Minister of Security;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
