CGX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
61501;Head of State;Sergey Konovalov;2003;PA;Stern Imperialist;High;M_CGX_sergey_konovalo;x
61502;Head of Government;Sergey Provatorov;2003;PA;Ambitious Union Boss;High;M_CGX_sergey_provatorov;x
61503;Foreign Minister;Vladimir Pashkov;2003;PA;Ideological Crusader;High;M_CGX_vladimir_pashkov;x
61504;Minister of Armament;Igor Andrianov;2003;PA;Resource Industrialist;High;M_CGX_igor_andrianov;x
61505;Minister of Security;Gennadiy Basov;2003;PA;Prince of Terror;High;M_CGX_gennadiy_basov;x
61506;Head of Military Intelligence;Yuriy Meshkov;2003;PA;Political Specialist;High;Unknown;x
61507;Chief of Staff;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
61508;Chief of Army;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
61509;Chief of Navy;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
61510;Chief of Air Force;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
61511;Minister of Armament;Alexandr Svistunov;2003;PA;Corrupt Kleptocrat;High;M_CGX_alexandr_svistunov;x
61512;Foreign Minister;Nadezhda Polyakova;2003;PA;Biased Intellectual;High;M_CGX_nadezhda_polyakova;x
61513;Minister of Security;Alexandr Chernomorov;2003;PA;Crime Fighter;High;M_CGX_alexandr_chernomorov;x
