CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
16501;Head of State;Ricardo Lagos;2003;SD;Benevolent Gentleman;High;M_CHL_ricardo_lagos;x 
16502;Head of Government;Ricardo Lagos;2003;SD;Naive Optimist;High;M_CHL_ricardo_lagos;x 
16503;Foreign Minister;Soledad Alvear;2003;SD;Great Compromiser;High;M_CHL_soledad_alvear;x 
16504;Minister of Armament;Michelle Bachelet;2003;SD;Air Superiority Proponent;High;M_CHL_michelle_bachelet;x 
16505;Minister of Security;Alberto Cienfuegos Becerra;2003;SD;Crime Fighter;High;M_CHL_alberto_cienfuegos_becerra;x 
16506;Head of Military Intelligence;Gustavo Villalobos;2003;SD;Political Specialist;High;M_CHL_gustavo_villalobos;x 
16507;Chief of Staff;Juan Carlos Salgado Brocal;2003;ML;School of Manoeuvre;High;M_CHL_juan_carlos_salgado_brocal;x 
16508;Chief of Army;Juan Emilio Cheyre;2003;SD;Armoured Spearhead Doctrine;High;M_CHL_juan_emilio_cheyre;x 
16509;Chief of Navy;Miguel Ángel Vergara;2003;SD;Open Seas Doctrine;High;M_CHL_miguel_Ángel_vergara;x 
16510;Chief of Air Force;Osvaldo Sarabia Vilches;2003;SD;Air Superiority Doctrine;High;M_CHL_osvaldo_sarabia_vilches;x 
;Replacements;;;;;;;x 
16511;Foreign Minister;Ignacio Walker;2003;SD;Great Compromiser;High;M_CHL_ignacio_walker;x 
16512;Minister of Armament;Carlos Parra;2003;SD;Air Superiority Proponent;High;M_CHL_carlos_parra;x 
16513;Minister of Security;Federico Schwerter Atero;2003;ML;Crime Fighter;High;Unknown;x 
16514;Minister of Security;Nelson Godoy Barrientos;2003;ML;Crime Fighter;High;Unknown;x 
16515;Chief of Staff;Jorge Huerta Dunsmore;2003;ML;School of Fire Support;High;M_CHL_jorge_huerta_dunsmore;x 
16516;Chief of Army;Javier Urbina Paredes;2003;ML;Elastic Defense Doctrine;High;M_CHL_javier_urbina_paredes;x 
16517;Chief of Navy;Raúl Silva Gordon;2003;ML;Open Seas Doctrine;High;M_CHL_raúl_silva_gordon;x 
16518;Chief of Navy;Oscar Manzano Soko;2003;ML;Decisive Naval Battle Doctrine;High;M_CHL_oscar_manzano_soko;x 
16519;Chief of Air Force;Ricardo Ortega Perrier;2003;ML;Air Superiority Doctrine;High;M_CHL_ricardo_ortega_perrier;x
