CMB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13001;Head of State;Norodom Sihamoni;2003;PA;Autocratic Charmer;High;M_CMB_norodom_sihamoni;x
13002;Head of Government;Hun Sen;2003;PA;Political Protege;High;M_CMB_hun_sen;x
13003;Foreign Minister;Hor Namhong;2003;PA;General Staffer;High;M_CMB_hor_namhong;x
13004;Minister of Armament;Nhek Bunchhay;2003;PA;Infantry Proponent;High;M_CMB_nhek_bunchhay;x
13005;Minister of Security;Ang Vong Vattana;2003;PA;Compassionate Gentleman;High;Unknown;x
13006;Head of Military Intelligence;Ang Vong Vattana;2003;PA;Political Specialist;High;Unknown;x
13007;Chief of Staff;Ke Kim Yan;2003;PA;School of Defence;High;M_CMB_ke_kim_yan;x
13008;Chief of Army;Ke Kim Yan;2003;PA;Static Defence Doctrine;High;M_CMB_ke_kim_yan;x
13009;Chief of Navy;Norodom Vatvani;2003;PA;Open Seas Doctrine;High;Unknown;x
13010;Chief of Air Force;Um Samkhan;2003;PA;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
13011;Head of Government;Sar Kheng;2003;PA;Political Protege;High;M_CMB_sar_kheng;x
13012;Head of Government;Norodom Sirivudh;2003;SD;Naive Optimist;High;M_CMB_norodom_sirivudh;x
13013;Head of Government;Sok An;2003;SC;Silent Workhorse;High;Unknown;x
13014;Head of Government;Lu Lay Sreng;2003;ML;Corporate Suit;High;M_CMB_lu_lay_sreng;x
13015;Head of Government;Tea Banh;2003;LWR;Backroom Backstabber;High;Unknown;x
13016;Head of Government;Hor Namhong;2003;FA;Flamboyant Tough Guy;High;M_CMB_hor_namhong;x
13017;Head of Government;Nhek Bunchhay;2003;LE;Political Protege;High;M_CMB_nhek_bunchhay;x
13018;Minister of Security;Hour Sareth;2003;PA;Silent Lawyer;High;Unknown;x
13019;Head of Military Intelligence;Hour Sareth;2003;PA;Industrial Specialist;High;Unknown;x
