COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17501;Head of State;Álvaro Uribe Vélez;2003;SL;Benevolent Gentleman;High;M_COL_álvaro_uribe_vélez;x
17502;Head of Government;Álvaro Uribe Vélez;2003;SL;Flamboyant Tough Guy;High;M_COL_álvaro_uribe_vélez;x
17503;Foreign Minister;Carolina Barco;2003;SL;Great Compromiser;High;M_COL_carolina_barco;x
17504;Minister of Armament;Marta Lucía Ramírez;2003;SL;Corrupt Kleptocrat;High;M_COL_marta_lucía_ramírez;x
17505;Minister of Security;Fernando Hoyos;2003;SL;Silent Lawyer;High;M_COL_fernando_hoyos;x
17506;Head of Military Intelligence;Jorge Noguera Cotes;2003;SL;Political Specialist;High;M_COL_jorge_noguera_cotes;x
17507;Chief of Staff;Jorge Enrique Mora;2003;NA;School of Fire Support;High;M_COL_jorge_enrique_mora;x
17508;Chief of Army;Carlos Alberto Ospina;2003;NA;Elastic Defence Doctrine;High;M_COL_carlos_alberto_ospina;x
17509;Chief of Navy;Mauricio Soto;2003;NA;Decisive Naval Battle Doctrine;High;M_COL_mauricio_soto;x
17510;Chief of Air Force;Hector Velasco;2003;NA;Army Aviation Doctrine;High;M_COL_hector_velasco;x
;Replacements;;;;;;;x
17511;Foreign Minister;María Consuelo Araújo;2006;SL;Apologetic Clerk;High;M_COL_maría_consuelo_araújo;x
17512;Foreign Minister;Fernando Araújo;2007;SL;Ideological Crusader;High;M_COL_fernando_araújo;x
17513;Foreign Minister;Jaime Bermúdez;2006;SL;Biased Intellectual;High;M_COL_jaime_bermúdez;x
17514;Foreign Minister;Marta Lucía Ramírez;2003;SL;Biased Intellectual;High;M_COL_marta_lucía_ramírez;x
17515;Minister of Armament;Jorge Alberto Uribe;2003;SL;Laissez-Faire Capitalist;High;M_COL_jorge_alberto_uribe;x
17516;Minister of Armament;Camillo Ospina Bernal;2004;SL;Administrative Genius;High;M_COL_camillo_ospina_bernal;x
17517;Minister of Armament;Juan Manuel Santos;2004;SL;Corrupt Kleptocrat;High;M_COL_juan_manuel_santos;x
17518;Minister of Armament;Freddy Padilla de León;2009;NA;Military Entrepreneur;High;M_COL_freddy_padilla_de_león;x
