CON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
68001;Head of State;Denis Sassou Nguesso;2003;LWR;Autocratic Charmer;High;M_CON_denis_sassou_nguesso;x
68002;Head of Government;Denis Sassou Nguesso;2003;LWR;Ambitious Union Boss;High;M_CON_denis_sassou_nguesso;x
68003;Foreign Minister;Undistinguished Suit;2003;LWR;Undistinguished Suit;High;Unknown;x
68004;Minister of Armament;Undistinguished Suit;2003;LWR;Undistinguished Suit;High;Unknown;x
68005;Minister of Security;Undistinguished Suit;2003;LWR;Undistinguished Suit;High;Unknown;x
68006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
68007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
68008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
68009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
68010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
