CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
19001;Head of State;Fidel Castro;2003;ST;Stern Imperialist;High;M_CUB_fidel_castro;x
19002;Head of Government;Fidel Castro;2003;ST;Flamboyant Tough Guy;High;M_CUB_fidel_castro;x
19003;Foreign Minister;Felipe Pérez;2003;ST;Ideological Crusader;High;M_CUB_felipe_pérez;x
19004;Minister of Armament;Raúl Castro Ruz;2003;ST;Infantry Proponent;High;M_CUB_raúl_castro_ruz;x
19005;Minister of Security;Abelardo Colomé Ibarra;2003;ST;Prince of Terror;High;M_CUB_abelardo_colomé_ibarra;x
19006;Head of Military Intelligence;Eduardo Delgado Rodríguez;2003;ST;Logistics Specialist;High;Unknown;x
19007;Chief of Staff;Raúl Castro Ruz;2003;ST;School of Mass Combat;High;M_CUB_raúl_castro_ruz;x
19008;Chief of Army;Álvaro López Miera;2003;ST;Guns and Butter Doctrine;High;M_CUB_álvaro_lópez_miera;x
19009;Chief of Navy;Álvaro López Miera;2003;ST;Indirect Approach Doctrine;High;M_CUB_álvaro_lópez_miera;x
19010;Chief of Air Force;Pedro Mendiondo Gómez;2003;ST;Air Superiority Doctrine;High;M_CUB_pedro_mendiondo_gómez;x
;Replacements;;;;;;;x
19011;Head of State;Raúl Castro Ruz;2003;ST;Ruthless Powermonger;High;M_CUB_raúl_castro_ruz;x
19012;Head of State;Oswaldo Payá Sardinas;2003;SC;Die-hard Reformer;High;M_CUB_oswaldo_payá_sardinas;x
19013;Head of State;Vladimiro Roca Antúnez;2003;SD;Die-Hard Reformer;High;M_CUB_vladimiro_roca_antúnez;x
19014;Head of State;Martha Beatriz Roque;2003;ML;Die-Hard Reformer;High;M_CUB_martha_beatriz_roque;x
19015;Head of Government;Raúl Castro Ruz;2003;ST;Political Protege;High;M_CUB_raúl_castro_ruz;x
19016;Head of Government;Oswaldo Payá Sardinas;2003;SC;Flamboyant Tough Guy;High;M_CUB_oswaldo_payá_sardinas;x
19017;Head of Government;Vladimiro Roca Antúnez;2003;SD;Flamboyant Tough Guy;High;M_CUB_vladimiro_roca_antúnez;x
19018;Head of Government;Martha Beatriz Roque;2003;ML;Flamboyant Tough Guy;High;M_CUB_martha_beatriz_roque;x
19019;Foreign Minister;Vladimiro Roca Antúnez;2003;SD;Ideological Crusader;High;M_CUB_vladimiro_roca_antúnez;x
19020;Foreign Minister;Juan Carlos Acosta;2003;SD;Ideological Crusader;High;Unknown;x
19021;Foreign Minister;Carlos Alberto Montaner;2003;ML;Biased Intellectual;High;M_CUB_carlos_alberto_montaner;x
19022;Foreign Minister;José Ignacio Rasco;2003;SC;Ideological Crusader;High;M_CUB_josé_ignacio_rasco;x
19023;Minister of Armament;Georgina Barri;2003;ST;Resource Industrialist;High;Unknown;x
19024;Minister of Armament;Martha Beatriz Roque;2003;ML;Laissez Faire Capitalist;High;M_CUB_martha_beatriz_roque;x
19025;Minister of Armament;Cándido José Hidalgo-Gato;2003;SD;Resource Industrialist;High;Unknown;x
19026;Minister of Armament;Félix Bonne Carcassés;2003;SL;Laissez faire Capitalist;High;M_CUB_félix_bonne_carcassés;x
19027;Minister of Armament;Marcelino Miyares Sotolongo;2003;SC;Laissez faire Capitalist;High;M_CUB_marcelino_miyares_sotolongo;x
19028;Minister of Security;René Gómez Manzano;2003;SL;Silent Lawyer;High;M_CUB_rené_gómez_manzano;x
19029;Minister of Security;Elizardo Sánchez Santa-Cruz;2003;SD;Silent Lawyer;High;M_CUB_elizardo_sánchez_santa-cruz;x
19030;Minister of Security;Andrés Hernández;2003;SC;Crime Fighter;High;Unknown;x
19031;Head of Military Intelligence;Félix Bonne Carcassés;2003;SL;Political Specialist;High;M_CUB_félix_bonne_carcassés;x
19032;Head of Military Intelligence;Andrés Hernández;2003;SC;Political Specialist;High;Unknown;x
19033;Head of Military Intelligence;Elizardo Sánchez Santa-Cruz;2003;SD;Political Specialist;High;M_CUB_elizardo_sánchez_santa-cruz;x
19034;Minister of Armament;Julio Casas Regueiro;2003;ST;Military Entrepreneur;High;M_CUB_julio_casas_regueiro;x
19035;Head of State;Carlos Lage Dávila;2008;ST;Benevolent Gentleman;High;M_CUB_carlos_lage_dávila;x
19036;Minister of Security;Juan Contino Aslán;2006;ST;Prince of Terror;High;M_CUB_juan_contino_aslán;x
19037;Minister of Security;Rubén Remigio Ferro;2008;ST;Silent Lawyer;High;M_CUB_rubén_remigio_ferro;x
19038;Foreign Minister;Alfonso Praga;2003;ST;Great Compromiser;High;M_CUB_alfonso_praga;x
19039;Foreign Minister;Alcibiades Hidalgo;2003;SL;Biased Intellectual;High;M_CUB_alcibiades_hidalgo;x
19040;Head of Government;Carlos Lage Dávila;2008;ST;Silent Workhorse;High;M_CUB_carlos_lage_dávila;x
19041;Foreign Minister;Rodrigo Malmierca;2006;LE;Ideological Crusader;High;M_CUB_rodrigo_malmierca;x
