CYN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
666901;Head of State;UN;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666902;Head of Government;UN Special Representative;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666903;Foreign Minister;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666904;Minister of Armament;Kosovo Protection Corps;2003;NA;Undistinguished Suit;High;M_CYN_kosovo_protection_corps;x
666905;Minister of Security;Kosovo Protection Corps;2003;NA;Undistinguished Suit;High;M_CYN_kosovo_protection_corps;x
666906;Head of Military Intelligence;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666907;Chief of Staff;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666908;Chief of Army;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666909;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
666910;Chief of Air Force;N/A;2003;NA;Undistinguished Suit;High;M_CYN_un;x
;Replacements;;;;;;;x
666911;Head of State;Fatmir Sejdiu;2008;ML;Benevolent Gentleman;High;M_CYN_fatmir_sejdiu;x
666912;Head of Government;Hashim Thaci;2008;SL;Backroom Backstabber;High;M_CYN_hashim_thaci;x
666913;Foreign Minister;Skender Hyseni;2008;ML;Great Compromiser;High;M_CYN_skender_hyseni;x
666914;Minister of Security;Zenun Payaziti;2008;SL;Corrupt Kleptocrat;High;Unknown;x
