CYP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
19501;Head of State;Tassos Papadopoulos;2003;SC;Popular Figurehead;High;M_CYP_tassos_papadopoulos;x
19502;Head of Government;Tassos Papadopoulos;2003;SC;Corporate Suit;High;M_CYP_tassos_papadopoulos;x
19503;Foreign Minister;Georgios Iacovou;2003;SC;Great Compromiser;High;M_CYP_georgios_iacovou;x
19504;Minister of Armament;Kyriakos Macronicolas;2003;SC;Resource Industrialist;High;Unknown;x
19505;Minister of Security;Doros Theodorou;2003;SC;Compassionate Gentleman;High;M_CYP_doros_theodorou;x
19506;Head of Military Intelligence;Doros Theodorou;2003;SC;Political Specialist;High;Unknown;x
19507;Chief of Staff;Athanasios Nicolodemos;2003;SC;School of Defence;High;Unknown;x
19508;Chief of Army;Athanasios Nicolodemos;2003;SC;Static Defence Doctrine;High;Unknown;x
19509;Chief of Navy;Andreas Ioannides;2003;SC;Base Control Doctrine;High;Unknown;x
19510;Chief of Air Force;Unknown;2003;SC;Air Superiority Doctrine;High;Unknown;x
