DDR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
21501;Head of State;Ismail Omar Guelleh;2003;SD;Autocratic Charmer;High;M_DDR_ismail_omar_guelleh;x
21502;Head of Government;Dileita Mohamed Dileita;2003;SD;Political Protege;High;M_DDR_dileita_mohammed_dileita;x
21503;Foreign Minister;Mahamoud Ali Youssouf;2003;SD;Apologetic Clerk;High;M_DDR_mahamoud_ali_youssouf;x
21504;Minister of Armament;Ougoureh Ahmed;2003;SD;Infantry Proponent;High;M_DDR_ougoureh_ahmed;x
21505;Minister of Security;Yacin Bouh;2003;SD;Crooked Kleptocrat;High;M_DDR_yacin_bouh;x
21506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
21507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
21508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
21509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
21510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
