ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
23000;Head of State;Lucio Gutierrez;1003;SC;Powerhungry Demagogue;High;M_ECU_lucio_gutierrez;x
23001;Head of Government;Lucio Gutierrez;1003;SC;Happy Amateur;High;M_ECU_lucio_gutierrez;x
23002;Foreign Minister;Patricio Zuquilanda;1003;SC;Great Compromiser;High;M_ECU_patricio_zuquilanda;x
23003;Minister of Armament;Nelson Herrera;1003;SC;Military Entrepreneur;High;M_ECU_nelson_herrera;x
23004;Minister of Security;Mario Canessa;1003;SD;Silent Lawyer;High;Unknown;x
23005;Head of Military Intelligence;Jaime Andrade;1003;SC;Political Specialist;High;Unknown;x
23006;Chief of Staff;Octavio Romero;1003;SC;School of Defence;High;Unknown;x
23007;Chief of Army;Luis Aguas;1003;SC;Static Defence Doctrine;High;M_ECU_luis_aguas;x
23008;Chief of Navy;Víctor Rosero;1003;SC;Indirect Approach Doctrine;High;M_ECU_víctor_rosero;x
23009;Chief of Air Force;Ángel Córdova;1003;SC;Air Superiority Doctrine;High;M_ECU_ángel_córdova;x
;Replacements;;;;;;;x
23010;Minister of Security;Luis Felipe Mantilla Huerta;1003;SC;Compassionate Gentleman;High;Unknown;x
23011;Minister of Security;Raúl Baca;1003;SD;Crime Fighter;High;M_ECU_raúl_baca;x
23012;Minister of Security;Jaime Damerval;1003;SD;Compassionate Gentleman;High;M_ECU_jaime_damerval;x
23013;Minister of Security;Xavier Ledesma;1003;SC;Silent Lawyer;High;M_ECU_xavier_ledesma;x
23014;Minister of Security;Óscar Ayerve;1003;SC;Crime Fighter;High;M_ECU_óscar_ayerve;x
23015;Chief of Staff;Luis Aguas;1003;SC;School of Fire Support;High;M_ECU_luis_aguas;x
23016;Chief of Navy;Luis Palacio;1003;SC;Indirect Approach Doctrine;High;Unknown;x
23017;Head of State;Rafael Correa;1003;LWR;Benevolent Gentleman;High;M_ECU_rafael_correa;x
23018;Head of Government;Rafael Correa;1003;LWR;Flamboyant Tough Guy;High;M_ECU_rafael_correa;x
