EGY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
23501;Head of State;Mohammed Hosni Mubarak;2003;SL;Autocratic Charmer;High;M_EGY_mohammed_hosni_mubarak;x
23502;Head of Government;Atef Mohamed Ebeid;2003;SD;Happy Amateur;High;M_EGY_atef_mohamed_ebeid;x
23503;Foreign Minister;Ahmed Maher;2003;SD;The Cloak N Dagger Schemer;High;M_EGY_ahmed_maher;x
23504;Minister of Armament;Mohamed Hussein Tantawi;2003;SL;Military Entrepreneur;High;M_EGY_mohamed_hussein_tantawi;x
23505;Minister of Security;Habib Ibrahim El Adly;2003;SL;Crime Fighter;High;M_EGY_habib_ibrahim_el_adly;x
23506;Head of Military Intelligence;Mohamed Safwat El-Sherif;2003;SL;Technical Specialist;High;M_EGY_mohamed_safwat_el-sherif;x
23507;Chief of Staff;Sa'd Eddine Al-Shazeli;2003;NA;School of Mass Combat;High;M_EGY_sa'd_eddine_al-shazeli;x
23508;Chief of Army;Sa'd Eddine Al-Shazeli;2003;NA;Decisive Battle Doctrine;High;M_EGY_sa'd_eddine_al-shazeli;x
23509;Chief of Navy;Ahmed Saber Selim;2003;NA;Indirect Approach Doctrine;High;M_EGY_ahmed_saber_selim;x
23510;Chief of Air Force;Magdy Galal Sharawi;2003;NA;Air Superiority Doctrine;High;M_EGY_magdy_galal_sharawi;x
;Replacements;;;;;;;
23511;Head of Government;Ahmed Nazif;2003;SL;Silent Workhorse;High;M_EGY-ahmed_Nazif;x
23512;Minister of Security;Farouq Seif al-Nasr;2003;SL;Silent Lawyer;High;M_EGY_farouq_seif_al-nasr;x
23513;Foreign Minister;Ahmed Aboul Gheit;2003;SL;Great Compromiser;High;M_EGY_ahmed_aboul_gheit;x
23514;Minister of Security;Alaa Abdul Moneim;2003;SL;Silent Lawyer;High;M_EGY_alaa_abdul_moneim;x
23515;Minister of Armament;Ahmed Ezz;2005;SL;Administrative Genius;High;M_EGY_ahmed_ezz;x
23516;Foreign Minister;Mohamed Mostafa Kamal;2005;SL;Biased Intellectual;High;M_EGY_mohamed_mostafa_kamal;x
23517;Head of State;Gamal Mubarak;2011;SL;Insignificant Layman;High;M_EGY_gamal_mubarak;x
23518;Head of State;Ayman al-Zawahiri;2003;NS;Power-Hungry Demagogue;High;M_EGY_ayman_al-zawahiri;x
23519;Head of Government;Ayman al-Zawahiri;2003;NS;Backroom Backstabber;High;M_EGY_ayman_al-zawahiri;x
23520;Foreign Minister;Hani al-Sibai;2003;NS;Ideological Crusader;High;M_EGY_hani_al-sibai;x
23521;Minister of Armament;Mohammad Al Ayyat;2003;PA;Resource Industrialist;High;M_EGY_mohammad_al_ayyat;x
23522;Minister of Security;Mohammad Hilmi;2003;PA;Silent Lawyer;High;M_EGY_mohammad_hilmi;x
