ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
87000;Head of State;Elizabeth II;2003;ML;Popular Figurehead;High;M_ENG_elizabeth_ii;x
87001;Head of Government;Tony Blair;2003;SL;Naive Optimist;High;M_ENG_tony_blair;x
87002;Foreign Minister;Jack Straw;2003;SL;Ideological Crusader;High;M_ENG_jack_straw;x
87003;Minister of Armament;Gordon Brown;2003;SL;Laissez Faires Capitalist;High;M_ENG_gordon_brown;x
87004;Minister of Security;David Blunkett;2003;SL;Crime Fighter;High;M_ENG_david_blunkett;x
87005;Head of Military Intelligence;Richard Dearlove;2003;SL;Political Specialist;High;M_ENG_richard_dearlove;x
87006;Chief of Staff;Michael Boyce;2003;NA;School of Psychology;High;M_ENG_michael_boyce;x
87007;Chief of Army;Michael Jackson;2003;NA;Armoured Spearhead Doctrine;High;M_ENG_michael_jackson;x
87008;Chief of Navy;Alan West;2003;NA;Open Seas Doctrine;High;M_ENG_alan_west;x
87009;Chief of Air Force;Peter Squire;2003;NA;Army Aviation Doctrine;High;M_ENG_peter_squire;x
;Replacements;;;;;;;x
87011;Head of State;King Charles III;2003;SL;Popular Figurehead;High;Unknown;x
87012;Head of State;King Charles III;2003;ML;Popular Figurehead;High;Unknown;x
87013;Head of State;King William V;2003;ML;Popular Figurehead;High;Unknown;x
87014;Head of State;King William V;2003;SL;Popular Figurehead;High;Unknown;x
87015;Head of Government;Michael Howard;2003;ML;Backroom Backstabber;High;Unknown;x
87016;Head of Government;Gordon Brown;2007;SL;Naive Optimist;High;M_ENG_gordon_brown;x
87017;Foreign Minister;Liam Fox;2003;ML;Biased Intellectual;High;M_ENG_liam_fox;x
87018;Minister of Armament;George Osborne;2003;ML;Administrative Genius;High;M_ENG_george_osborne;x
87019;Minister of Armament;Vincent Cable;2003;SL;Laissez Faires Capitalist;High;M_ENG_vincent_cable;x
87020;Minister of Security;David Davis;2003;ML;Crime Fighter;High;M_ENG_david_davis;x
87021;Minister of Security;Mark Oaten;2003;SL;Man of the People;High;M_ENG_mark_oaten;x
87022;Head of Military Intelligence;John Scarlett;2003;NA;Dismal Enigma;High;Unknown;x
87023;Head of Military Intelligence;Eliza Manningham-Buller;2003;SL;Industrial Specialist;High;Unknown;x
87024;Head of Military Intelligence;Weyman Bennett;2003;LWR;Political Specialist;High;Unknown;x
87025;Minister of Security;Charles Clarke;2003;SL;Crime Fighter;High;M_ENG_charles_clarke;x
87026;Minister of Armament;Geoff Hoon;2003;SL;Air Superiority Doctrine;High;Unknown;x
87027;Foreign Minister;Tony Lecomber;2003;FA;Iron-Fisted Brute;High;Unknown;x
87028;Foreign Minister;Valerie Amos;2003;SL;Great Compromiser;High;M_ENG_valerie_amos;x
87029;Minister of Security;David Boothroyd;2012;SL;Compassionate Gentleman;High;M_ENG_david_boothroyd;x
87030;Minister of Security;Steve Bullock;2003;SL;Man of the People;High;M_ENG_steve_bullock;x
87031;Foreign Minister;Matt Carter;2013;SL;Great Compromiser;High;M_ENG_matt_carter;x
87032;Foreign Minister;Michael Cashman;2004;SL;Ideological Crusader;High;M_ENG_michael_cashman;x
87033;Minister of Security;Alun Davies;2005;SL;Biased Intellectual;High;M_ENG_alun_davies;x
87034;Minister of Armament;Howard Dawber;2012;SL;Laissez Faires Capitalist;High;M_ENG_howard_dawber;x
87035;Minister of Armament;Paul Drayson;2006;SL;Theoretical Scientist;High;M_ENG_paul_drayson;x
87036;Minister of Security;Clive Efford;2004;SL;Man of the People;High;M_ENG_clive_efford;x
87037;Foreign Minister;Robert Evans;2003;SL;Great Compromiser;High;M_ENG_robert_evans;x
87038;Minister of Security;Richard Howitt;2005;SL;Silent Lawyer;High;M_ENG_richard_howitt;x
87039;Minister of Armament;John Reid;2003;SL;Laissez Faires Capitalist;High;M_ENG_john_reid;x
87040;Minister of Armament;Desmond Browne;2006;SL;Laissez Faires Capitalist;High;M_ENG_desmond_browne;x
87041;Foreign Minister;Margaret Beckett;2006;SL;Apologetic Clerk;High;M_ENG_margaret_beckett;x
87042;Foreign Minister;David Milliband;2007;SL;Biased Intellectual;High;M_ENG_david_milliband;x
87043;Minister of Security;John Reid;2006;SL;Back Stabber;High;M_ENG_john_reid;x
87044;Minister of Security;Jacqui Smith;2007;SL;Silent Lawyer;High;M_ENG_jacqui_smith;x
87045;Chief of Staff;Michael Walker;2003;NA;School of Manoeuvre;High;M_ENG_michael_walker;x
87046;Chief of Staff;Michael Jackson;2005;NA;School of Psychology;High;M_ENG_michael_jackson;x
87047;Chief of Staff;Richard Dannatt;2006;NA;School of Fire Support;High;M_ENG_richard_dannatt;x
87048;Chief of Staff;Timothy Granville-Chapman;2005;NA;School of Defence;High;M_ENG_timothy_granville-chapman;x
87049;Chief of Army;Timothy Granville-Chapman;2003;NA;Armoured Spearhead Doctrine;High;M_ENG_timothy_granville-chapman;x
87050;Chief of Army;Richard Dannatt;2004;NA;Armoured Spearhead Doctrine;High;M_ENG_richard_dannatt;x
87051;Chief of Army;Redmond Watt;2005;NA;Decisive Battle Doctrine;High;M_ENG_redmond_watt;x
87052;Head of Government;David Cameron;2005;ML;Benevolent Gentleman;High;M_ENG_david_cameron;x
87053;Minister of Security;William Hague;2005;SC;Crime Fighter;High;M_ENG_william_hague;x
87054;Minister of Armament;Liam Fox;2004;ML;Administrative Genius;High;M_ENG_liam_fox;x
87055;Minister of Armament;James Arbuthnot;2003;ML;Tank Proponent;High;M_ENG_james_arbuthnot;x
87056;Minister of Armament;Robert Ainsworth;2003;SL;Laissez Faires Capitalist;High;M_ENG_robert_ainsworth;x
87057;Chief of Staff;Graham Eric Stirrup;2006;NA;School of Fire Support;High;M_ENG_graham_eric_stirrup;x
87058;Chief of Navy;Jonathon Band;2003;NA;Decisive Battle Doctrine;High;M_ENG_jonathon_band;x
87059;Chief of Air Force;Glenn Torpy;2005;NA;Army Aviation Doctrine;High;M_ENG_glenn_torpy;x
87060;Chief of Air Force;Graham Eric Stirrup;2003;NA;Air Superiority Doctrine;High;M_ENG_graham_eric_stirrup;x
87061;Chief of Air Force;Clive Loader;2006;NA;Open Seas Doctrine;High;M_ENG_clive_loader;x
87062;Chief of Navy;Adrian Johns;2007;NA;Power Projection Doctrine;High;M_ENG_adrian_johns;x
87063;Head of Military Intelligence;Jonathan Evans;2005;ML;Industrial Specialist;High;Unknown;x
87064;Head of Government;Nick Griffin;2003;FA;Flamboyant Tough Guy;High;M_ENG_nick_griffin;x
87065;Minister of Armament;Richard Barnbrook;2003;FA;Resource Industrialist;High;M_ENG_richard_barnbrook;x
87066;Head of Military Intelligence;Simon Darby;2003;FA;Technical Specialist;High;Unknown;x
87067;Minister of Security;Martin Wingfield;2003;FA;Prince of Terror;High;Unknown;x
87068;Head of Government;Nina Temple;2003;LE;Backroom Backstabber;High;Unknown;x
87069;Head of State;Nina Temple;2003;LE;Barking Buffoon;High;Unknown;x
87070;Chief of Army;David Richards;2007;NA;Armoured Spearhead Doctrine;High;M_ENG_david_richards;x
87071;Chief of Staff;David Richards;2009;NA;School of Fire Support;High;M_ENG_david_richards;x
87072;Chief of Air Force;John Day;2003;NA;Air Superiority Doctrine;High;M_ENG_john_day;x
87073;Chief of Army;Nick Houghton;2008;NA;Guns and Butter Doctrine;High;M_ENG_nick_houghton;x
87074;Chief of Staff;Nick Houghton;2010;NA;School of Psychology;High;M_ENG_nick_houghton;x
87075;Chief of Staff;Glenn Torpy;2010;NA;School of Fire Support;High;M_ENG_glenn_torpy;x
87076;Head of Military Intelligence;Alan West;2008;NA;Naval Intelligence Specialist;High;M_ENG_alan_west;x
87077;Chief of Navy;James Burnell-Nugent;2005;NA;Decisive Naval Battle Doctrine;High;M_ENG_james_burnell-nugent;x
87078;Chief of Navy;Mark Stanhope;2008;NA;Power Projection Doctrine;High;M_ENG_mark_stanhope;x
87079;Chief of Navy;Paul Boissier;2009;NA;Indirect Approach Doctrine;High;M_ENG_paul_boissier;x
87080;Chief of Staff;Paul Boissier;2011;NA;School of Psychology;High;M_ENG_paul_boissier;x
87081;Chief of Navy;Robert Cooling;2009;NA;Base Control Doctrine;High;M_ENG_robert_cooling;x
87082;Minister of Armament;Derek Twigg;2006;SL;Military Entrepreneur;High;M_ENG_derek_twigg;x
87083;Minister of Armament;Thomas Watson;2006;SL;Corrupt Kleptocrat;High;M_ENG_thomas_watson;x
87084;Minister of Armament;Adam Ingram;2003;SL;Resource Industrialist;High;M_ENG_adam_ingram;x
87085;Minister of Security;Danny Alexander;2012;SL;Compassionate Gentleman;High;M_ENG_danny_alexander;x
87086;Foreign Minister;Douglas Alexander;2010;SL;Apologetic Clerk;High;M_ENG_douglas_alexander;x
87087;Foreign Minister;Michael Ancram;2003;ML;Great Compromiser;High;M_ENG_michael_ancram;x
87088;Minister of Armament;Michael Ancram;2003;ML;Laissez Faires Capitalist;High;M_ENG_michael_ancram;x
87089;Minister of Security;Richard Benyon;2008;ML;Biased Intellectual;High;M_ENG_richard_benyon;x
87090;Minister of Armament;Edward Dawey;2005;SL;Laissez Faires Capitalist;High;M_ENG_edward_Davey;x
87091;Minister of Armament;Mark Harper;2008;ML;Laissez Faires Capitalist;High;M_ENG_mark_harper;x
87092;Foreign Minister;Gregory Mulholland;2010;SL;Great Compromiser;High;M_ENG_gregory_mulholland;x
87093;Foreign Minister;James Murphy;2008;SL;Great Compromiser;High;M_ENG_james_murphy;x
87094;Head of Government;Nick Clegg;2009;SL;Naive Optimist;High;M_ENG_nick_clegg;x
