EQA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
24501;Head of State;Teodoro Obiang Nguema;2003;PA;Ruthless Powermonger;High;M_EQA_teodoro_obiang_nguema;x
24502;Head of Government;Teodoro Obiang Nguema;2003;PA;Backroom Backstabber;High;M_EQA_teodoro_obiang_nguema;x
24503;Foreign Minister;Micha Ondo Bile;2003;PA;Apologetic Clerk;High;M_EQA_micha_ondo_bile;x
24504;Minister of Armament;Antonio Nguema;2003;PA;Corrupt Kleptocrat;High;M_EQA_antonio_nguema;x
24505;Minister of Security;Manuel Nguema;2003;PA;Crooked Kleptocrat;High;M_EQA_manuel_nguema;x
24506;Head of Military Intelligence;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
24507;Chief of Staff;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
24508;Chief of Army;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
24509;Chief of Air Force;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
24510;Chief of Navy;Undistinguished Suit;2003;PA;Undistinguished Suit;High;Unknown;x
