EST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25500;Head of State;Arnold Rüütel;2003;SC;Popular Figurehead;Very High;M_EST_arnold_rüütel;x
25501;Head of Government;Juhan Parts;2003;SL;Man of the People;High;M_EST_juhan_parts;x
25502;Foreign Minister;Urmas Paet;2003;SL;Benevolent Gentleman;High;M_EST_urmas_paet;x
25503;Minister of Armament;Jürgen Ligi;2003;SL;Military Entrepreneur;High;M_EST_jürgen_ligi;x
25504;Minister of Security;Jürgen Ligi;2003;SL;Man of the People;High;M_EST_jürgen_ligi;x
25505;Head of Military Intelligence;Kaale Lanet;2003;SL;Industrial Specialist;High;M_EST_kaale_lanet;x
25506;Chief of Staff;Alar Laneman;2003;SL;School of Fire Support;High;M_EST_alar_laneman;x
25507;Chief of Army;Aivar Soerd;2003;SL;Guns and Butter Doctrine;High;M_EST_aivar_soerd;x
25508;Chief of Navy;Tarmo Kouts;2003;SL;Indirect Approach Doctrine;High;M_EST_tarmo_kouts;x
25509;Chief of Air Force;Tarmo Kouts;2003;SL;Naval Aviation Doctrine;High;M_EST_tarmo_kouts;x
;Replacements;;;;;;;
25510;Head of Government;Andrus Ansip;2004;SL;Popular Figurehead;High;M_EST_andrus_ansip;x
