ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
26001;Head of State;Girma Wolde-Giorgis;2003;SD;Popular Figurehead;High;M_ETH_girma_wolde-giorgis;x
26002;Head of Government;Meles Zenawi;2003;SD;Ambitious Union Boss;High;M_ETH_meles_zenawi;x
26003;Foreign Minister;Seyoum Mesfin;2003;SD;Biased Intellectual;High;M_ETH_seyoum_mesfin;x
26004;Minister of Armament;Kuma Demeksa;2003;SD;Administrative Genius;High;M_ETH_kuma_demeksa;x
26005;Minister of Security;Assefa Kessito;2003;SD;Compassionate Gentleman;High;M_ETH_assefa_kessito;x
26006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
26007;Chief of Staff;Samora Yunis;2003;NA;School of Fire Support;High;Unknown;x
26008;Chief of Army;Gabre Heard;2003;NA;Armoured Spearhead Doctrine;High;M_ETH_gabre_heard;x
26009;Chief of Air Force;Molla Hailemariam;2003;NA;Air Superiority Doctrine;High;Unknown;x
26010;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x
26011;Chief of Staff;Samoran Yunus;2003;NA;School of Manoeuvre;High;M_ETH_samoran_yunus;x
