EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
92001;Head of State;Robert Mugabe;1003;FA;Ruthless Powermonger;High;M_EUS_robert_mugabe;x
92002;Head of Government;Robert Mugabe;1003;FA;Backroom Backstabber;High;M_EUS_robert_mugabe;x
92003;Foreign Minister;Stan Mudenge;1003;FA;Iron-fisted Brute;High;M_EUS_stan_mudenge;x
92004;Minister of Armament;Sydney Sekeramayi;1003;FA;Infantry Proponent;High;M_EUS_sydney_sekeramayi;x
92005;Minister of Security;Kembo Mohadi;1003;FA;Prince of Terror;High;M_EUS_kembo_mohadi;x
92006;Head of Military Intelligence;Happyton Bonyongwe;1003;FA;Dismal Enigma;High;M_EUS_happyton_bonyongwe;x
92007;Chief of Staff;Constantine Chiwenga;1003;FA;School of Defence;High;M_EUS_constantine_chiwenga;x
92008;Chief of Army;Phillip Sibanda;1003;FA;Elastic Defence Doctrine;High;M_EUS_phillip_sibanda;x
92009;Chief of Air Force;Perence Shiri;1003;FA;Army Aviation Doctrine;High;M_EUS_perence_shiri;x
92010;Chief of Navy;N/A;1003;NA;Undistinguished Suit;High;Unknown;x
92011;Foreign Minister;Simbarashe Mumbengegwi;1003;FA;Great Compromiser;High;M_EUS_simbarashe_mumbenhegwi;x
92012;Minister of Armament;Emmerson Mnangagwa;1003;FA;Corrupt Kleptocrat;High;M_EUS_emmerson_mnangagwa;x
92013;Minister of Security;Giles Mutsekwa;1003;FA;Compassionate Gentleman;High;M_EUS_giles_mutsekwa;x
92014;Foreign Minister;Sikhanyiso Ndlovu;1003;FA;Ideological Crusader;High;M_EUS_sikhanyiso_ndlovu;x
92015;Head of Government;Morgan Tsvangirai;1009;SD;Political Protege;High;M_EUS_morgan_tsvangirai;x
92016;Head of Military Intelligence;Elisha Muzonzini;1003;FA;Logistics Specialist;High;M_EUS_elisha_muzonzini;x
