FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
551901;Head of State;Ratu Josefa Iloilo;2003;ML;Benevolent Gentleman;High;M_FLA_ratu_josefa_iloilo;x
551902;Head of Government;Laisenia Qarase;2003;ML;Silent Workhorse;High;M_FLA_laisenia_qarase;x
551903;Minister of Armament;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551904;Foreign Minister;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551905;Chief of Navy;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551906;Chief of Army;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551907;Chief of Air Force;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551908;Head of Military Intelligence;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551909;Chief of Staff;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
551910;Minister of Security;Undistinguished suit;2003;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
