GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
31001;Head of State;Johannes Rau;2003;SD;Insignificant Layman;High;M_GER_johannes_rau;x 
31002;Head of Government;Gerhard Schröder;2003;SL;Ambitious Union Boss;High;M_GER_gerhard_schröder;x 
31003;Foreign Minister;Joschka Fischer;2003;SD;Great Compromiser;High;M_GER_joschka_fischer;x 
31004;Minister of Armament;Wolfgang Clement;2003;SL;Laissez Faires Capitalist;High;M_GER_wolfgang_clement;x 
31005;Minister of Security;Otto Schilly;2003;SL;Crime Fighter;High;M_GER_otto_schilly;x 
31006;Head of Military Intelligence;August Hanning;2003;SL;Technical Specialist;High;M_GER_august_hanning;x 
31007;Chief of Staff;Wolfgang Schneiderhan;2003;SL;School of Defence;High;M_GER_wolfgang_schneiderhan;x 
31008;Chief of Army;Hans-Otto Budde;2003;SD;Armoured Spearhead Doctrine;High;M_GER_hans-otto_budde;x 
31009;Chief of Navy;Lutz Feldt;2003;SD;Open Seas Doctrine;High;M_GER_lutz_feldt;x 
31010;Chief of Air Force;Klaus Peter Stieglitz;2003;ML;Air Superiority Doctrine;High;M_GER_klaus_peter_stieglitz;x 
;Replacements;;;;;;;
31011;Head of State;Horst Köhler;2003;ML;Benevolent Gentleman;High;M_GER_horst_köhler;x 
31012;Head of State;Udo Voigt;2003;FA;Powerhungry Demagogue;High;M_GER_udo_voigt;x 
31013;Head of State;Gregor Gysi;2003;LWR;Die-hard Reformer;High;M_GER_gregor_gysi;x 
31014;Head of Government;Angela Merkel;2003;ML;Naive Optimist;High;M_GER_angela_merkel;x 
31015;Head of Government;Holger Apfel;2003;FA;Flamboyant Tough Guy;High;M_GER_holger_apfel;x 
31016;Head of Government;Lothar Bisky;2003;LWR;Naive Optimist;High;M_GER_lothar_bisky;x 
31017;Head of Government;Guido Westerwelle;2003;ML;Silent Workhorse;High;M_GER_guido_westerwelle;x 
31018;Head of Government;Joschka Fischer;2003;SD;Ambitious Union Boss;High;M_GER_joschka_fischer;x 
31019;Foreign Minister;Peter Marx;2003;FA;Iron Fisted Brute;High;M_GER_peter_marx;x 
31020;Foreign Minister;Wolfgang Gehrcke;2003;LWR;Ideological Crusader;High;M_GER_wolfgang_gehrcke;x 
31021;Foreign Minister;Guido Westerwelle;2003;ML;Apologetic Clerk;High;M_GER_guido_westerwelle;x 
31022;Minister of Armament;Heidemarie Wieczorek-Zeul;2003;SD;Administrative Genius;High;M_GER_heidemarie_wieczorek-zeul;x 
31023;Minister of Armament;Hans Eichel;2003;SD;Resource Industrialist;High;M_GER_hans_eichel;x 
31024;Minister of Armament;Sascha Roßmüller;2003;FA;Tank Proponent;High;M_GER_sascha_roßmüller;x 
31025;Minister of Armament;Rolf Kutzmutz;2003;LWR;Administrative Genius;High;M_GER_rolf_kutzmutz;x 
31026;Minister of Armament;Renate Künast;2003;SD;Military Entrepreneur;High;M_GER_renate_künast;x 
31027;Minister of Security;Brigitte Zypries;2003;SL;Silent Lawyer;High;M_GER_brigitte_zypries;x 
