GLD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
31501;Head of State;John Kufuor;2003;ML;Die-hard Reformer;High;M_GLD_john_kufuor;x
31502;Head of Government;John Kufuor;2003;ML;Silent Workhorse;High;M_GLD_john_kufuor;x
31503;Foreign Minister;Hackman Owusu-Agyemang;2003;ML;Ideological Crusader;High;M_GLD_hackman_owusu-agyemang;x
31504;Minister of Armament;Kwame Addo-Kufuor;2003;ML;Laissez-Faire Capitalist;High;M_GLD_aliu_mahama;x
31505;Minister of Security;Malik Yakubu;2003;ML;Back Stabber;High;M_GLD_malik_yakubu;x
31506;Head of Military Intelligence;Yaw Donkor;2003;NA;Dismal Enigma;High;M_GLD_yaw_donkor;x
31507;Chief of Staff;Seth Obeng;2003;NA;School of Psychology;High;M_GLD_seth_obeng;x
31508;Chief of Army;Clayton Yaache;2003;NA;Elastic Defence Doctrine;High;M_GLD_clayton_yaache;x
31509;Chief of Air Force;Edward Mantey;2003;NA;Army Aviation Doctrine;High;M_GLD_edward_mantey;x
31510;Chief of Navy;John Gbenah;2003;NA;Indirect Approach Doctrine;High;Unknown;x
31511;Head of State;John Atta Mills;2003;SL;Benevolent Gentleman;High;M_GLD_john_atta_mills;x
31512;Head of Government;John Atta Mills;2003;SL;Corporate Suit;High;M_GLD_john_atta_mills;x
31513;Head of State;Nana Akufo-Addo;2008;ML;Weary Stiffneck;High;M_GLD_nana_akufo-addo;x
31514;Head of Government;Nana Akufo-Addo;2008;ML;Naive Optimist;High;M_GLD_nana_akufo-addo;x
31515;Foreign Minister;Nana Akufo-Addo;2003;ML;Biased Intellectual;High;M_GLD_nana_akufo-addo;x
31516;Foreign Minister;Akwasi Osei-Adjei;2003;ML;Great Compromiser;High;M_GLD_akwasi_osei-adjei;x
31517;Minister of Armament;Akwasi Osei-Adjei;2003;ML;Resource Industrialist;High;M_GLD_akwasi_osei-adjei;x
31518;Foreign Minister;Muhammad Mumuni;2003;SL;Apologetic Clerk;High;M_GLD_muhammad_mumuni;x
31519;Foreign Minister;Oboshie Sai-Cofie;2003;SL;Great Compromiser;High;M_GLD_oboshie_sai-cofie;x
31520;Foreign Minister;Aliu Mahama;2003;ML;Ideological Crusader;High;M_GLD_aliu_mahama;x
31521;Minister of Security;Kwame Addo-Kufuor;2008;ML;Silent Lawyer;High;M_GLD_aliu_mahama;x
31522;Minister of Armament;Albert Dapaah;2003;ML;Infantry Proponent;High;M_GLD_albert_dapaah;x
31523;Minister of Security;Cletus Avoka;2003;SL;Crime Fighter;High;M_GLD_cletus_avoka;x
31524;Minister of Security;Hackman Owusu-Agyemang;2003;ML;Compassionate Gentleman;High;M_GLD_hackman_owusu-agyemang;x
31525;Minister of Security;Papa Owusu-Ankomah;2004;ML;Man of the People;High;M_GLD_pap_owusu-agyemang;x
31526;Minister of Armament;Joseph Smith;2008;NA;Military Entrepreneur;High;M_GLD_joseph_smith;x
31527;Minister of Armament;Abraham Osei-Aidooh;2004;ML;Administrative Genius;High;M_GLD_abraham_osei-aidooh;x
31528;Minister of Security;Stephen Boateng;2003;SL;Silent Lawyer;High;M_GLD_stephen_boateng;x
31529;Chief of Army;Samuel Odotei;2003;NA;Armoured Spearhead Doctrine;High;M_GLD_samuel_odotei;x
31530;Chief of Staff;Clayton Yaache;2005;NA;School of Defence;High;M_GLD_clayton_yaache;x
31531;Chief of Army;Joseph Adinkrah;2008;NA;Decisive Battle Doctrine;High;M_GLD_joseph_adinkrah;x
31532;Foreign Minister;Edward Mantey;2005;ML;General Staffer;High;M_GLD_edward_mantey;x
31533;Chief of Air Force;Julius Boateng;2003;NA;Air Superiority Doctrine;High;M_GLD_julius_boateng;x
31534;Chief of Air Force;Michael Oje;2008;NA;Naval Aviation Doctrine;High;M_GLD_michael_oje;x
31535;Chief of Navy;Arthur Nunoo;2003;NA;Indirect Approach Doctrine;High;Unknown;x
31536;Chief of Navy;Matthew Quashie;2006;NA;Indirect Approach Doctrine;High;M_GLD_matthew_quashie;x
31537;Chief of Staff;Joseph Boateng;2003;NA;School of Fire Support;High;Unknown;x
31538;Chief of Staff;Arthur Nunoo;2005;NA;School of Psychology;High;Unknown;x
31539;Chief of Staff;Paul Blay;2008;NA;School of Manoeuvre;High;M_GLD_paul_blay;x
31540;Chief of Army;Paul Blay;2003;NA;Armoured Spearhead Doctrine;High;M_GLD_paul_blay;x
31541;Chief of Army;Ahmed Abdulai;2003;NA;Guns and Butter Doctrine;High;M_GLD_ahmed_abdulai;x
31542;Chief of Staff;Julius Danquah;2003;NA;School of Fire Support;High;M_GLD_julius_danquah;x
31543;Chief of Army;John Attipoe;2003;NA;Decisive Battle Doctrine;High;M_GLD_john_attipoe;x
31544;Chief of Navy;Muniru Tahiru;2008;NA;Indirect Approach Doctrine;High;Unknown;x
