GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
32001;Head of State;Kostis Stephanopoulos;2003;ML;Benevolent Gentleman;High;M_GRE_kostis_stephanopoulos;x
32002;Head of Government;Costas Simitis;2003;SD;Silent Workhorse;High;M_GRE_costas_simitis;x
32003;Foreign Minister;Giorgios Papandreou;2003;SD;Great Compromiser;High;M_GRE_giorgios_papandreou;x
32004;Minister of Armament;Nikos Christodoulakis;2003;SD;Laissez faire Capitalist;High;M_GRE_nikos_christodoulakis;x
32005;Minister of Security;Kostas Skandalidis;2003;SD;Crime Fighter;High;Unknown;x
32006;Head of Military Intelligence;Haralambos Stavrakakis;2003;ML;Dismal Enigma;High;Unknown;x
32007;Chief of Staff;Panagiotis Chinofotis;2003;SD;School of Fire Support;High;M_GRE_panagiotis_chinofotis;x
32008;Chief of Army;Nikolaos Douvas;2003;SD;Decisive Battle Doctrine;High;Unknown;x
32009;Chief of Navy;Dimitrios Gousis;2003;SD;Open Seas Doctrine;High;M_GRE_dimitrios_gousis;x
32010;Chief of Air Force;Panagiotis Papanikolaou;2003;SD;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
32011;Head of State;Karolos Papoulias;2005;SD;Insignificant Layman;High;M_GRE_karolos_papouilas;x
32012;Head of State;Karolos Papoulias;2005;ML;Insignificant Layman;High;M_GRE_karolos_papouilas;x
32013;Head of Government;Costas Caramanlis;2004;ML;Corporate Suit;High;M_GRE_costas_caramanlis;x
32014;Foreign Minister;Petros Molyviatis;2004;ML;Great Compromiser;High;M_GRE_petros_molyviatas;x
32015;Minister of Armament;Giorgios Alogoskoufis;2004;ML;Administrative Genius;High;Unknown;x
32016;Minister of Security;Giorgios Voulgarakis;2004;ML;Crime Fighter;High;Unknown;x
32017;Head of Military Intelligence;Pavlos Apostolidis;2005;ML;Political Specialist;High;Unknown;x
32018;Chief of Air Force;Giorgos Avlonitis;2004;ML;Air Superiority Doctrine;High;Unknown;x
32019;Foreign Minister;Dora Bakoyyanis;2004;ML;Great Compromiser;High;M_GRE_dora_bakoyyanis;x
32020;Foreign Minister;Marilisa Xenogiannakopoulou;2003;SD;Ideological Crusader;High;M_GRE_marilisa_xenogiannakopoulou;x
32021;Foreign Minister;Theodoros Pangalos;2003;SD;Iron Fisted Brute;High;M_GRE_theodoros_pangalos;x
32022;Minister of Armament;Yiannos Papantoniou;2003;SD;Administrative Genius;High;M_GRE_yiannos_papantoniou;x
32023;Minister of Armament;Spilios Spiliotopoulos;2003;ML;Air to Ground Proponent;High;M_GRE_spilios_spilitopoulos;x
32024;Minister of Armament;Vangelis Meimarakis;2006;ML;Theoretical Scientist;High;Unknown;x
32025;Minister of Security;Prokopis Pavlopoulos;2004;ML;Silent Lawyer;High;M_GRE_prokopis_pavlopoulos;x
32026;Minister of Security;Georgios Voulgarakis;2004;ML;Back Stabber;High;M_GRE_georgios_voulgarakis;x
32027;Minister of Security;Vyron Polydoras;2003;SC;Crime Fighter;High;M_GRE_vyron_polydoras;x
32028;Minister of Security;Evangelos Venizelos;2003;SD;Silent Lawyer;High;Unknown;x
32029;Head of Government;Aleka Papariga;2003;LE;Flamboyant Tough Guy;High;M_GRE_aleka_papariga;x
32030;Head of State;Aleka Papariga;2003;LE;Barking Buffoon;High;M_GRE_aleka_papariga;x
32031;Minister of Armament;Giannis Dragasakis;2003;LWR;Resource Industrialist;High;Unknown;x
32032;Foreign Minister;Yiannis Theonas;2003;LWR;Ideological Crusader;High;Unknown;x
32033;Head of Government;Giorgios Papandreou;2003;SD;Naive Optimist;High;M_GRE_giorgios_papandreou;x
