GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
77101;Head of State;Enrique Bolaños;1003;ML;Insignificant Layman;High;M_GUA_enrique_bolaños;x
77102;Head of Government;Enrique Bolaños;1003;ML;Corporate Suit;High;M_GUA_enrique_bolaños;x
77103;Minister of Armament;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77104;Foreign Minister;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77105;Chief of Navy;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77106;Chief of Army;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77107;Chief of Air Force;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77108;Head of Military Intelligence;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77109;Chief of Staff;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
77110;Minister of Security;Undistinguished suit;1003;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
77111;Head of State;Daniel Ortega;1003;LWR;Resigned Generalissimo;High;M_GUA_daniel_ortega;x
77112;Head of Government;Daniel Ortega;1003;LWR;Flamboyant Tough Guy;High;M_GUA_daniel_ortega;x
