GUI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
33501;Head of State;Lansana Conte;2003;PA;Barking Buffoon;High;M_GUI_lansana_conte;x
33502;Head of Government;Lansana Conte;2003;PA;Silent Workhorse;High;M_GUI_lansana_conte;x
33503;Foreign Minister;Harouna Berete;2003;PA;Great Compromiser;High;M_GUI_harouna_berete;x
33504;Minister of Armament;Almamy Camara;2003;PA;Corrupt Kleptocrat;High;M_GUI_almamy_camara;x
33505;Minister of Security;Bachir Toure;2003;PA;Man of the People;High;M_GUI_bachir_toure;x
33506;Head of Military Intelligence;Nabaniou Mahmoud;2003;NA;Dismal Enigma;High;M_GUI_nabaniou_mahmoud;x
33507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
33508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
33509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
33510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
33511;Head of State;Moussa Dadis Camara;2008;PA;Resigned Generalissimo;High;M_GUI_moussa_dadis_camara;x
33512;Head of Government;Moussa Dadis Camara;2008;PA;Old General;High;M_GUI_moussa_dadis_camara;x
