HUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
36001;Head of State;Ferenc Mádl;2003;SC;Benevolent Gentleman;High;M_HUN_ferenc_mádl;x
36002;Head of Government;Péter Medgyessi;2003;SL;Naive Optimist;High;M_HUN_péter_medgyessi;x
36003;Foreign Minister;László Kovács;2003;SL;Great Compromiser;Medium;M_HUN_lászló_kovács;x
36004;Minister of Armament;István Csillag;2003;SL;Administrative Genius;Medium;M_HUN_istván_csillag;x
36005;Minister of Security;Mónika Lamperth;2003;SL;Efficient Sociopath;Medium;M_HUN_mónika_lamperth;x
36006;Head of Military Intelligence;Péter Kiss;2003;SL;Political Specialist;High;M_HUN_péter_kiss;x
36007;Chief of Staff;Zoltán Szenes;2003;SL;School of Defence;High;M_HUN_zoltán_szenes;x
36008;Chief of Army;Gyõrössy Ferenc;2003;SL;Guns and Butter Doctrine;Medium;M_HUN_gyõrössy_ferenc;x
36009;Chief of Air Force;János Sági;2003;SL;Air Superiority Doctrine;Medium;M_HUN_jános_sági;x
;Replacements;;;;;;;x
36010;Head of State;Katalin Szili;2003;SL;Autocratic Charmer;High;M_HUN_katalin_szili;x
36011;Head of Government;Ferenc Gyurcsány;2003;SL;Flamboyant Tough Guy;High;M_HUN_ferenc_gyurcsány;x
36012;Head of Government;Viktor Orbán;2003;SC;Flamboyant Tough Guy;High;M_HUN_viktor_orbán;x
36013;Foreign Minister;Ferenc Somogyi;2003;SL;Ideological Crusader;Medium;M_HUN_ferenc_somogyi;x
36014;Foreign Minister;János Martonyi;2003;SC;Ideological Crusader;Medium;M_HUN_jános_martonyi;x
36015;Minister of Armament;János Kóka;2003;SL;Laissez Faires Capitalist;Medium;M_HUN_jános_kóka;x
36016;Minister of Armament;György Matolcsy;2003;SC;Infantry Proponent;Medium;M_HUN_györgy_matolcsy;x
36017;Minister of Security;Sándor Pintér;2003;SC;Crime Fighter;Medium;M_HUN_sándor_pintér;x
36018;Head of Military Intelligence;Ervin Demeter;2003;SC;Dismal Enigma;Medium;M_HUN_ervin_demeter;x
36019;Head of Military Intelligence;László Kövér;2003;SC;Political Specialist;Medium;M_HUN_lászló_kövér;x
36020;Chief of Staff;András Havril;2003;SL;School of Manoeuvre;Medium;M_HUN_andrás_havril;x
36021;Chief of Army;József Forgó;2003;SL;Armoured Spearhead Doctrine;Medium;M_HUN_józsef_forgó;x
36022;Chief of Army;Tibor Nagy;2003;SC;Guns and Butter Doctrine;Medium;M_HUN_tibor_nagy;x
36023;Chief of Army;László Tánczos;2003;SL;Static Defence Doctrine;Medium;M_HUN_lászló_tánczos;x
36024;Chief of Air Force;Imre Buckó;2003;SC;Army Aviation Doctrine;Medium;M_HUN_imre_buckó;x
36025;Chief of Air Force;János Varga;2003;SD;Air Superiority Doctrine;Medium;M_HUN_jános_varga;x
36026;Head of State;László Sólyom;2003;SC;Autocratic Charmer;High;M_HUN_lászló_sólyom;x
