IDC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
34001;Head of State;Kumba Iala;2003;SD;Autocratic Charmer;High;M_IDC_kumba_iala;x
34002;Head of Government;Mario Pires;2003;SD;Backroom Backstabber;High;Unknown;x
34003;Foreign Minister;Maria Nobre Cabral;2003;SD;Great Compromiser;High;M_IDC_maria_nobre_cabral;x
34004;Minister of Armament;Undistinguished Suit;2003;SD;Undistinguished Suit;High;Unknown;x
34005;Minister of Security;Undistinguished Suit;2003;SD;Undistinguished Suit;High;Unknown;x
34006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
34007;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
34008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
34009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
34010;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
