IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37001;Head of State;A.P.J. Abdul Kalam;2003;ML;Popular Figurehead;High;M_IND_a_p_j_abdul_kalam;x
37002;Head of Government;Atal Bihari Vajpayee;2003;SC;Flamboyant Tough Guy;High;M_IND_atal_bihari_vajpayee;x
37003;Foreign Minister;Yashwant Sinha;2003;SC;General Staffer;High;M_IND_yashwant_sinha;x
37004;Minister of Armament;Jaswant Singh;2003;SC;Military Entrepreneur;Very High;M_IND_jaswant_singh;x
37005;Minister of Security;Arun Jaitley;2003;SC;Compassionate Gentleman;High;M_IND_arun_jaitley;x
37006;Head of Military Intelligence;C.D. Sahay;2003;ML;Technical Specialist;Very High;M_IND_c_d_sahay;x
37007;Chief of Staff;Pankaj Joshi;2003;SL;School of Manoeuvre;High;M_IND_pankaj_joshi;x
37008;Chief of Army;Nrimal Chander Vij;2003;ML;Elastic Defence Doctrine;High;M_IND_nrimal_chand_vij;x
37009;Chief of Navy;Madhvendra Singh;2003;SD;Power Projection Doctrine;High;M_IND_madhvendra_singh;x
37010;Chief of Air Force;Srinivasapuram Krishnaswamy;2003;ML;Air Superiority Doctrine;High;M_IND_srinivaspuram_krishnaswamy;x
;Replacements;;;;;;;x
37011;Head of Government;Sonia Gandhi;2003;SL;Naive Optimist;High;M_IND_sonia_gandhi;x
37012;Head of Government;Manmohan Singh;2003;SL;Political Protege;High;M_IND_manmohan_singh;x
37051;Head of Government;Rajnath Singh;2003;SC;Silent Workhorse;High;M_IND_rajnath_singh;x
37055;Head of Government;Prakash Karat;2003;ST;Backroom Backstabber;High;M_IND_prakash_karat;x
37013;Head of State;Pratibha Patil;2003;SL;Benevolent Gentleman;High;M_IND_pratibha_patil;x
37014;Head of State;Shivraj Patil;2003;SL;Weary Stiffneck;High;M_IND_shivraj_patil;x
37052;Head of State;Lal Krishna Advani;2003;SC;Flamboyant Tough Guy;High;M_IND_lal_krishna_advani;x
37056;Head of State;Sitaram Yechury;2003;ST;Powerhungry Demagogue;High;M_IND_sitaram_yechury;x
37063;Head of State;Bhairon Singh Shekhawat;2003;SC;Benevolent Gentleman;High;M_IND_bhairon_singh_shekhawat;x
37015;Foreign Minister;Pranab Mukherjee;2003;SL;General Staffer;High;M_IND_pranab_mukherjee;x
37016;Foreign Minister;K. Natwar Singh;2003;SL;The Cloak N Dagger Schemer;High;M_IND_k_natwar_singh;x
37020;Foreign Minister;Anand Sharma;2003;SL;Apologetic Clerk;High;M_IND_anand_sharma;x
37026;Foreign Minister;E. Ahammed;2003;SD;Biased Intellectual;High;M_IND_e_ahammed;x
37044;Foreign Minister;Vinod Khanna;2003;SC;Ideological Crusader;High;M_IND_vinod_khanna;x
37045;Foreign Minister;Omar Abdullah;2003;SC;Apologetic Clerk;High;M_IND_omar_abdullah;x
37046;Foreign Minister;Krishnam Raju;2003;SC;Great Compromiser;High;M_IND_krishnam_raju;x
37047;Foreign Minister;Vasundhara Raje;2003;SC;The Cloak N Dagger Schemer;High;M_IND_vasundhara_raje;x
37017;Minister of Armament;P. Chidambaram;2003;ML;Administrative Genius;High;M_IND_p_chidambaram;x
37018;Minister of Armament;Sushilkumar Shinde;2003;SD;Resource Industrialist;High;M_IND_sushilkumar_shinde;x
37019;Minister of Armament;Raghuvansh Prasad Singh;2003;SD;Laissez Faires Capitalist;High;M_IND_raghuvansh_prasad_singh;x
37022;Minister of Armament;Kamal Nath;2003;SL;Corrupt Kleptocrat;High;M_IND_kamal_nath;x
37048;Minister of Armament;Atal Bihari Vajpayee;2003;SC;Resource Industrialist;High;M_IND_atal_bihari_vajpayee;x
37049;Minister of Armament;Ram Singh Kaswan;2003;SC;Administrative Genius;High;M_IND_ram_singh_kaswan;x
37050;Minister of Armament;Dilip Singh Judeo;2003;SC;Corrupt Kleptocrat;High;M_IND_dilip_singh_judeo;x
37057;Minister of Armament;Basudeb Acharia;2003;ST;Resource Industrialist;High;M_IND_basudeb_acharia;x
37021;Minister of Security;Hansraj Bhardwaj;2003;SL;Silent Lawyer;High;M_IND_nasraj_bhardwaj;x
37023;Minister of Security;Gavit Manikrao Hodlya;2003;SL;Man of the People;High;M_IND_gavit_manikrao_hodlya;x
37024;Minister of Security;Shriprakash Jaiswal;2003;SL;Compassionate Gentleman;High;M_IND_shriprakash_jaiswal;x
37025;Minister of Security;V. Radhika Selvi;2003;SD;Man of the People;High;M_IND_v_radhika_selvI;x
37053;Minister of Security;Sompal Singh Shastri;2003;SC;Man of the People;High;M_IND_sompal_singh_shastri;x
37054;Minister of Security;Bhupendrasinh Prabhatsinh Solanki;2003;SC;Silent Lawyer;High;M_IND_bhupendrasinh_prabhatsinh_solanki;x
37058;Minister of Security;V. S. Achuthanandan;2003;ST;Back Stabber;High;M_IND_v_s_achuthanandan;x
37027;Chief of Staff;A. K. Antony;2003;SL;School of Fire Support;High;M_IND_a_k_antony;x
37028;Chief of Staff;Inderjit Singh Rao;2003;SL;School of Mass Combat;High;M_IND_inderjit_singh_rao;x
37029;Chief of Staff;Mallipudi Raju Pallam Mangapati;2003;SL;School of Defence;High;M_IND_mallipudi_raju_pallam_mangapati;x
37030;Chief of Staff;Hardev Singh Lidder;2003;SC;School of Manoeuvre;High;M_IND_hardev_singh_lidder;x
37031;Chief of Staff;S Radhakrishnan;2003;SC;School of Mass Combat;High;M_IND_s_radhakrishnan;x
37032;Chief of Staff;Sundararajan Padmanabhan;2003;SC;School of Fire Support;High;M_IND_sundararajan_padmanabhan;x
37033;Chief of Staff;Shashindra Pal Tyagi;2003;SL;School of Psychology;High;M_IND_shashindra_pal_tyagi;x
37034;Chief of Air Force;Shashindra Pal Tyagi;2003;SL;Air Superiority Doctrine;High;M_IND_shashindra_pal_tyagi;x
37035;Chief of Air Force;Fali Homi Major;2003;SC;Army Aviation Doctrine;High;M_IND_fali_homi_major;x
37036;Chief of Air Force;Anil Yashwant Tipnis;2003;SC;Carpet Bombing Doctrine;High;M_IND_anil_yashwant_tipnis;x
37037;Chief of Navy;Arun Prakash;2003;SC;Open Seas Doctrine;High;M_IND_arun_prakash;x
37038;Chief of Navy;Sureesh Mehta;2003;SL;Decisive Naval Battle Doctrine;High;M_IND_sureesh_mehta;x
37039;Chief of Navy;Sushil Kumar;2003;SC;Base Control Doctrine;High;M_IND_sushil_kumar;x
37041;Chief of Army;Deepak Kapoor;2003;SC;Decisive Battle Doctrine;High;M_IND_deepak_kapoor;x
37042;Chief of Army;Joginder Jaswant Singh;2003;SC;Static Defence Doctrine;High;M_IND_joginder_jaswant_singh;x
37043;Chief of Army;Sundararajan Padmanabhan;2003;SL;Elastic Defence Doctrine;High;M_IND_sundararajan_padmanabhan;x
37059;Head of Military Intelligence;Ashok Chaturvedi;2003;SC;Industrial Specialist;High;Unknown;x
37060;Head of Military Intelligence;P. K. H. Tharakan;2003;SL;Political Specialist;High;M_IND_p_k_h_tharakan;x
37061;Head of Military Intelligence;Vikram Sood;2003;SC;Logistics Specialist;High;M_IND_vikram_sood;x
