INO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37501;Head of State;Megawati Sukarnoputri;2003;SL;Barking Buffoon;High;M_INO_megawati_sukarnoputri;x
37502;Head of Government;Megawati Sukarnoputri;2003;SL;Corporate Suit;High;M_INO_megawati_sukarnoputri;x
37503;Foreign Minister;Hasan Wirajuda;2003;SL;Great Compromiser;High;M_INO_hasan_wirajuda;x
37504;Minister of Armament;Matori Abdul Djalil;2003;SD;Administrative Genius;High;M_INO_matori_abdul_djalil;x
37505;Minister of Security;Muhammad Abdul Rachman;2003;SD;Man of the People;High;M_INO_muhammad_abdul_rachman;x
37506;Head of Military Intelligence;A. M. Hendropriyono;2003;SD;Political Specialist;High;M_INO_a_m_hendropriyono;x
37507;Chief of Staff;Endriartono Suarto;2003;NA;School of Fire Support;High;M_INO_endriartono_suarto;x
37508;Chief of Army;Ryamizad Ryacudu;2003;NA;Guns and Butter Doctrine;High;M_INO_ryamizad_ryacudu;x
37509;Chief of Navy;Bernard Kent Sondakh;2003;NA;Base Control Doctrine;High;M_INO_bernard_kent_sondakh;x
37510;Chief of Air Force;Chappy Hakim;2003;NA;Air Superiority Doctrine;High;M_INO_chappy_hakim;x
;Replacements;;;;;;;x
37511;Foreign Minister;Soemadi Brotodiningrat;2003;SL;Ideological Crusader;High;M_INO_soemadi_brotodiningrat;x
37512;Head of State;Susilo Bambang Yudhoyono;2004;ML;Die-hard Reformer;High;M_INO_susilo_bambang_yudhoyono;x
37513;Head of Government;Susilo Bambang Yudhoyono;2004;ML;Flamboyant Tough Guy;High;M_INO_susilo_bambang_yudhoyono;x
37514;Minister of Armament;Juwono Sudarsono;2003;ML;Administrative Genius;High;M_INO_juwono_sudarsono;x
37515;Foreign Minister;Juwono Sudarsono;2003;ML;Ideological Crusader;High;M_INO_juwono_sudarsono;x
37516;Chief of Army;Djoko Santoso;2003;NA;Decisive Battle Doctrine;High;M_INO_djoko_sontoso;x
37517;Chief of Army;Agustadi Sasongko Purnomo;2006;NA;Armoured Spearhead Doctrine;High;M_INO_agustadi_sasongko_purnomo;x
37518;Chief of Staff;Djoko Suyanto;2006;NA;School of Fire Support;High;M_INO_djoko_suyanto;x
37519;Chief of Air Force;Djoko Suyanto;2004;NA;Air Superiority Doctrine;High;M_INO_djoko_suyanto;x
37520;Chief of Staff;Djoko Santoso;2007;NA;School of Psychology;High;M_INO_djoko_sontoso;x
37521;Chief of Air Force;Herman Prayitno;2006;NA;Naval Aviation Doctrine;High;M_INO_herman_prayitno;x
37522;Chief of Air Force;Madya Soebandrio;2007;NA;Air Superiority Doctrine;High;M_INO_madya_soebandrio;x
37523;Chief of Navy;Slamet Soebijanto;2003;NA;Indirect Approach Doctrine;High;M_INO_slamet_soebijanto;x
