IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
39001;Head of State;Mary McAleese;2003;SL;Popular Figurehead;High;M_IRE_mary_mcaleese;x 
39002;Head of Government;Bertie Ahern;2003;SC;Backroom Backstabber;High;M_IRE_bertie_ahern;x 
39003;Foreign Minister;Brian Cowen;2003;ML;Ideological Crusader;High;M_IRE_brian_cowen;x 
39004;Minister of Armament;Charlie McCreevy;2003;ML;Laissez-Faire Capitalist;High;M_IRE_charlie_mccreevy;x 
39005;Minister of Security;Michael McDowell;2003;ML;Crime Fighter;High;M_IRE_michael_mcdowell;x 
39006;Head of Military Intelligence;Unknown;2003;ML;Undistinguished Suit;High;Unknown;x 
39007;Chief of Staff;Michael Smith;2003;SC;School of Fire Support;High;M_IRE_michael_smith;x 
39008;Chief of Army;Colm Mangan;2003;SL;Guns and Butter Doctrine;High;M_IRE_colm_mangan;x 
39009;Chief of Navy;Frank Lynch;2003;SL;Open Seas Doctrine;High;M_IRE_colm_mangan;x 
39010;Chief of Air Force;Colm Mangan;2003;SL;Naval Aviation Doctrine;High;M_IRE_frank_lynch;x 
