IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x ;
38501;Head of State;Saddam Hussein;2003;FA;Ruthless Powermonger;High;M_IRQ_saddam_hussein;x ;*
38502;Head of Government;Tariq Aziz;2003;FA;Silent Workhorse;High;M_IRQ_tariq_aziz;x ;*
38503;Foreign Minister;Naji Sabri;2003;FA;Biased Intellectual;High;M_IRQ_naji_sabri;x ;*
38504;Minister of Armament;Hikmat Ibrahim;2003;FA;Corrupt Kleptocrat;High;M_IRQ_hikmat_ibrahim;x ;*
38505;Minister of Security;Watban al-Tikriti;2003;FA;Efficient Sociopath;High;M_IRQ_watban_al-tikriti;x ;*
38506;Head of Military Intelligence;Tahir Jalil Habbush;2003;FA;Political Specialist;High;M_IRQ_tahir_jalil_habbush;x ;*
38507;Chief of Staff;Ibrahim Ahmad Abd Muhammad;2003;FA;School of Defense;High;M_IRQ_ibrahim_ahmad_abd_muhammad;x ;*
38508;Chief of Army;Ibrahim Ahmad Abd Muhammad;2003;FA;Decisive Battle Doctrine;High;M_IRQ_ibrahim_ahmad_abd_muhammad;x ;*
38509;Chief of Navy;Ibrahim Ahmad Abd Muhammad;2003;FA;Indirect Approach Doctrine;High;M_IRQ_ibrahim_ahmad_abd_muhammad;x ;*
38510;Chief of Air Force;Abed Hamed Mowhoush;2003;FA;Air Superiority Doctrine;High;Unknown;x ;*
;Replacements;;;;;;;x ;
38511;Head of State;Ghazi Mashal Ajil al-Yawer;2004;ML;Insignificant Layman;High;M_IRQ_ghazi_mashal_ajil_al-yawer;x ;
38512;Head of State;Jalal Talabani;2004;SC;Benevolent Gentleman;High;M_IRQ_jalal_talabani;x ;
38513;Head of Government;Iyad Allawi;2004;ML;Naive Optimist;High;M_IRQ_iyad_allawi;x ;
38514;Head of Government;Ibrahim al-Jafaari;2005;SC;Happy Amateur;High;M_IRQ_ibrahim_al-jafaari;x ;
38515;Foreign Minister;Hoshyar Zebari;2003;SC;Apologetic Clerk;High;M_IRQ_hoshyar_zebari;x ;
38516;Minister of Armament;Hashim Ahmad al-Tai;2003;ML;Military Entrepreneur;High;Unknown;x ;
38517;Minister of Security;Nuri al-Badran;2003;ML;Silent Lawyer;High;Unknown;x ;
38518;Minister of Security;Falah Hassan;2004;SC;Silent Lawyer;High;M_IRQ_falah_hassan;x ;
38519;Minister of Security;Bayan Baqir Solagh;2005;SC;Silent Lawyer;High;Unknown;x ;
38520;Head of Military Intelligence;Nuri al-Badran;2003;ML;Industrial Specialist;High;Unknown;x ;
38521;Chief of Staff;Babaker Shawkat Zebari;2003;NA;School of Psychology;High;Unknown;x ;
38522;Chief of Army;Babaker Shawkat Zebari;2003;NA;Guns and Butter Doctrine;High;Unknown;x ;
38523;Chief of Navy;Muhammed Jawad;2003;NA;Indirect Approach Doctrine;High;Unknown;x ;
38524;Chief of Air Force;Babaker Shawkat Zebari;2003;NA;Air Superiority Doctrine;High;Unknown;x ;
38525;Foreign Minister;Abbas al-Bayati;2004;SC;Great Compromiser;High;M_IRQ_abbas_al-bayati;x ;
38526;Minister of Security;Ahmad Husayn as-Samarrai;2003;FA;Prince of Terror;High;Unknown;x ;*
38527;Head of Government;Abdul Aziz al-Hakim;2003;PA;Naive Optimist;High;M_IRQ_ahmad_husayn_as-samarrai;x ;
38528;Minister of Armament;Adnan al-Janabi;2003;ML;Laissez-Faire Capitalist;High;M_IRQ_adnan_al-janabi;x ;
38529;Head of Government;Nouri al-Maliki;2003;SC;Silent Workhorse;High;M_IRQ_nouri_al-maliki;x ;
38530;Minister of Armament;Hussain al-Shahristani;2003;ML;Theoretical Scientist;High;M_IRQ_hussain_al-shahristani;x ;
38531;Minister of Security;Shirwan al-Waili;2003;SC;Crime Fighter;High;M_IRQ_shirwan_al-waili;x ;
38532;Minister of Armament;Ali Allawi;2003;ML;Infantry Proponent;High;M_IRQ_ali_allawi;x ;
38533;Head of Government;Mithal al-Alusi;2003;SL;Flamboyant Tough Guy;High;M_IRQ_mithal_al-alusi;x ;
38534;Minister of Security;Jawad al-Bulani;2005;SC;Silent Lawyer;High;M_IRQ_jawad_al-bulani;x ;
38535;Minister of Armament;Jawad al-Bulani;2003;SC;Air Superiority Proponent;High;M_IRQ_jawad_al-bulani;x ;
38536;Minister of Armament;Ahmed Chalabi;2003;ML;Administrative Genius;High;M_IRQ_ahmed_chalabi;x ;
38537;Minister of Armament;Saadoun al-Dulaimi;2005;SC;Military Entrepreneur;High;M_IRQ_saadoun_al-dulaimi;x ;
38538;Minister of Security;Saadoun al-Dulaimi;2005;SC;Prince of Terror;High;M_IRQ_saadoun_al-dulaimi;x ;
38539;Head of Military Intelligence;Farouk Hijazi;2003;FA;Political Specialist;High;M_IRQ_farouk_hijazi;x ;
38540;Foreign Minister;Rend al-Rahim Francke;2003;SD;Ideological Crusader;High;M_IRQ_rend_al-rahim_francke;x ;
38541;Foreign Minister;Feisal al-Istrabadi;2003;ML;Great Compromiser;High;M_IRQ_feisal_al-istrabadi;x ;
38542;Head of Military Intelligence;Mohammed Saeed al-Sahhaf;2003;FA;Political Specialist;High;M_IRQ_mohammed_saeed_al-sahaf;x ;*
38543;Minister of Armament;Qadir Obeidi;2006;ML;Military Entrepreneur;High;M_IRQ_qadir_obeidi;x ;
38544;Minister of Security;Mowaffak al-Rubaie;2006;ML;Crime Fighter;High;M_IRQ_mowaffak_al-rubaie;x ;
38545;Head of State;Muqtada al-Sadr;2003;NS;Powerhungry Demagogue;High;M_IRQ_muqtada_al-sadr;x ;*Shia
38546;Head of Government;Ahmed Shibani;2003;NS;Political Protege;High;Unknown;x ;*Shia
38547;Foreign Minister;Samir Sumaidae;2003;ML;Biased Intellectual;High;M_IRQ_samir_sumaidae;x ;
38548;Minister of Security;Qusay Hussein;2003;FA;Efficient Sociopath;High;M_IRQ_qusay_hussein;x ;*
38549;Minister of Armament;Hazim al-Shaalan;2003;ML;Corrupt Kleptocrat;High;M_IRQ_hazim_al-shaalan;x ;
38550;Head of State;Hamid Majid Mousa;2003;LE;Barking Buffoon;High;M_IRQ_hamid_majid_mousa;x ;
38551;Chief of Army;Ali Ghaidan Majid;2003;NA;Decisive Battle Doctrine;High;Unknown;x ;
38552;Chief of Army;Mubdar Hatim al-Dulaimi;2003;NA;Elastic Defence Doctrine;High;Unknown;x ;
38553;Chief of Staff;Mubdar Hatim al-Dulaimi;2005;NA;School of Psychology;High;Unknown;x ;
38554;Head of Military Intelligence;Tahir al-Tikriti;2003;FA;Political Specialist;High;M_IRQ_tahir_al-tikriti;x ;*
38555;Head of State;Abu Ayyub al-Masri;2003;NS;Powerhungry Demagogue;High;M_IRQ_abu_ayyub_al-masri;x ;*NS HoS
38556;Minister of Security;Talib Yousif Zwayed al-Isawy;2003;NS;Prince of Terror;High;Unknown;x ;*NS MoSec
38557;Minister of Armament;Izzat Ibrahim al-Douri;2003;NS;Military Entrepreneur;High;M_IRQ_izzat_ibrahim_al-douri;x ;*NS MoArm
38558;Chief of Air Force;Hamid Raja Shalah;2003;FA;Air Superiority Doctrine;High;M_IRQ_hamid_raja_salah;x ;*
38559;Chief of Air Force;Kamal Barzanji;2003;NA;Army Aviation Doctrine;High;M_IRQ_kamal_barzanji;x ;
38560;Chief of Air Force;Muzahim al-Tikriti;2003;FA;Army Aviation Doctrine;High;Unknown;x ;*
38561;Chief of Staff;Mahir al-Zubaydi;2003;NS;School of Psychology;High;Unknown;x ;*NS CoSt
38562;Chief of Army;Mahir al-Zubaydi;2003;NS;Elastic Defence Doctrine;High;Unknown;x ;*NS CoAr
38563;Head of Government;Abu Abdullah al-Baghdadi;2003;NS;Flamboyant Tough Guy;High;M_IRQ_abu_abdullah_al-baghdadi;x ;*NS HoG
38564;Foreign Minister;Harith al-Dhari;2003;NS;Iron-fisted Brute;High;M_IRQ_harith_al-dhari;x ;*NS FoM
38565;Minister of Security;Falah al-Naqib;2003;ML;Man of the People;High;M_IRQ_falah_al-naqib;x ;
38566;Minister of Security;Baqir Jabr Al-Zubeidi ;2003;ML;Silent Lawyer;High;Unknown;x ;
38567;Head of Military Intelligence;Mohammed Abdullah al-Shahwani;2003;ML;Logistics Specialist;High;M_IRQ_mohammed_abdullah_al-shahwani;x ;
