JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
41501;Head of State;Akihito;2003;ML;Benevolent Gentleman;High;M_JAP_akihito;x
41502;Head of Government;Junichiro Koizumi;2003;ML;Silent Workhorse;High;M_JAP_junichiro_koizumi;x
41503;Foreign Minister;Yoriko Kawaguchi;2003;ML;General Staffer;High;M_JAP_yoriko_kawaguchi;x
41504;Minister of Armament;Shigeru Ishiba;2003;ML;Resource Industrialist;High;M_JAP_shigeru_ishiba;x
41505;Minister of Security;Taro Aso;2003;ML;Crime Fighter;High;M_JAP_taro_aso;x
41506;Head of Military Intelligence;Unknown;2003;ML;Industrial Specialist;High;Unknown;x
41507;Chief of Staff;Shoji Takegouchi;2003;ML;School of Fire Support;High;M_JAP_shoji_takegouchi;x
41508;Chief of Army;Masahiro Nakatani;2003;SD;Guns and Butter Doctrine;High;M_JAP_masahiro_nakatani;x
41509;Chief of Navy;Kosei Fujita;2003;SD;Indirect Approach Doctrine;High;M_JAP_kosei_fujita;x
41510;Chief of Air Force;Kiyokatsu Fujiki;2003;ML;Naval Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
41511;Head of State;Akihito;2003;LE;Benevolent Gentleman;High;M_JAP_akihito;x
41512;Head of State;Akihito;2003;SL;Benevolent Gentleman;High;M_JAP_akihito;x
41513;Head of Government;Shinzo Abe;2006;ML;Flamboyant Tough Guy;High;M_JAP_shinzo_abe;x
41514;Head of Government;Yasuo Fukuda;2003;ML;Silent Workhorse;High;M_JAP_yasuo_fukuda;x
41515;Foreign Minister;Masahiko Komura;2007;ML;Great Compromiser;High;M_JAP_masahiko_komura;x
41516;Foreign Minister;Nobutaka Machimura;2003;ML;Great Compromiser;High;M_JAP_nobutaka_machimura;x
41517;Foreign Minister;Taro Aso;2003;ML;Iron Fisted Brute;High;M_JAP_taro_aso;x
41518;Foreign Minister;Ichiro Aisawa;2004;ML;Iron Fisted Brute;High;M_JAP_ichiro_aisawa;x
41519;Foreign Minister;Masatoshi Abe;2003;ML;General Staffer;High;M_JAP_masatoshi_abe;x
41520;Minister of Armament;Fukushiro Nukaga;2003;ML;Laissez Faires Capitalist;High;M_JAP_fukushiro_nukaga;x
41521;Minister of Armament;Fumio Kyuma;2004;ML;Administrative Genius;High;M_JAP_fumio_kyuma;x
41522;Minister of Armament;Yuriko Koike;2005;ML;Laissez Faires Capitalist;High;M_JAP_yuriko_koike;x
41523;Minister of Armament;Masahiko Komura;2004;ML;Tank Proponent;High;M_JAP_masahiko_komura;x
41524;Minister of Security;Yoshihide Suga;2003;ML;Crime Fighter;High;M_JAP_yoshihide_suga;x
41525;Minister of Security;Hiroya Masuda;2006;ML;Compassionate Gentleman;High;M_JAP_hiroya_masuda;x
41526;Minister of Security;Kiyoko Ono;2003;ML;Crime Fighter;High;M_JAP_kiyoko_ono;x
41527;Minister of Security;Yukio Jitsukawa;2003;ML;Compassionate Gentleman;High;M_JAP_yukio_jitsukawa;x
41528;Minister of Security;Heizo Takenaka;2005;ML;Man of the People;High;M_JAP_heizo_takenaka;x
41529;Minister of Armament;Sadakazu Tanigaki;2005;ML;Administrative Genius;High;M_JAP_sadakazu_tanigaki;x
41530;Head of Government;Ichiro Ozawa;2003;SL;Flamboyant Tough Guy;High;M_JAP_ichiro_ozawa;x
41531;Foreign Minister;Ren Hou;2009;SL;Ideological Crusader;High;Unknown;x
41532;Foreign Minister;Yukio Edano;2006;SL;Apologetic Clerk;High;Unknown;x
41533;Foreign Minister;Marutei Tsurunen;2003;SL;Great Compromiser;High;M_JAP_marutei_tsurunen;x
41534;Minister of Armament;Katsuya Okada;2003;SL;Laissez Faires Capitalist;High;M_JAP_katsuya_okada;x
41535;Minister of Armament;Seiji Maehara;2006;SL;Resource Industrialist;High;M_JAP_seiji_maehara;x
41536;Minister of Armament;Yukio Hatoyama;2003;SL;Theoretical Scientist;High;M_JAP_yukio_hatoyama;x
41537;Minister of Security;Seiji Maehara;2003;SL;Compassionate Gentleman;High;M_JAP_seiji_maehara;x
41538;Head of Government;Kazuo Shii;2003;LE;Flamboyant Tough Guy;High;M_JAP_kazuo_shii;x
41539;Head of State;Kazuo Shii;2003;LE;Barking Buffoon;High;M_JAP_kazuo_shii;x
41540;Foreign Minister;Tadayoshi Ichida;2003;LE;Ideological Crusader;High;Unknown;x
41541;Foreign Minister;Tadao Hamano;2005;LE;General Staffer;High;Unknown;x
41542;Minister of Armament;Ikuko Ishii;2003;LE;Battle Fleet Proponent;High;Unknown;x
41543;Minister of Armament;Yasuo Ogata;2005;LE;Resource Industrialist;High;Unknown;x
41544;Minister of Security;Tatsuo Kamioka;2003;LE;Crime Fighter;High;Unknown;x
41545;Minister of Security;Tetsuzo Fuwa;2003;LE;Prince of Terror;High;Unknown;x
41546;Minister of Security;Tadamichi Hasegawa;2003;LE;Back Stabber;High;Unknown;x
41547;Minister of Security;Mizuho Fukushima;2003;SD;Crime Fighter;High;M_JAP_mizuho_fukushima;x
41548;Foreign Minister;Seiji Mataichi;2004;SD;Ideological Crusader;High;Unknown;x
41549;Foreign Minister;Akihiro Ota;2003;SC;Great Compromiser;High;M_JAP_akihiro_ota;x
41550;Minister of Armament;Kazuo Kitagawa;2003;SC;Air Superiority Proponent;High;Unknown;x
41551;Foreign Minister;Otohiko Endo;2003;SC;Biased Intellectual;High;M_JAP_otohiko_endo;x
41552;Foreign Minister;Hiroshi Takano;2003;SC;Great Compromiser;High;Unknown;x
41553;Foreign Minister;Isamu Ueda;2006;SC;General Staffer;High;M_JAP_isamu_ueda;x
41554;Foreign Minister;Makoto Nishida;2010;SC;Great Compromiser;High;M_JAP_makoto_nishida;x
41555;Minister of Security;Keiichi Ishii;2003;SC;Crime Fighter;High;M_JAP_keiichi_ishii;x
41556;Head of Government;Sadakazu Tanigaki;2009;ML;Silent Workhorse;High;M_JAP_sadakazu_tanigaki;x
41557;Head of Government;Taro Aso;2006;ML;Flamboyant Tough Guy;High;M_JAP_taro_aso;x
41558;Head of State;Naruhito;2003;ML;Benevolent Gentleman;High;M_JAP_naruhito;x
41559;Head of State;Naruhito;2003;LE;Benevolent Gentleman;High;M_JAP_naruhito;x
41560;Head of State;Naruhito;2003;SL;Benevolent Gentleman;High;M_JAP_naruhito;x
41561;Foreign Minister;Hirofumi Nakasone;2007;ML;Apologetic Clerk;High;M_JAP_hirofumi_nakasone;x
41562;Minister of Security;Kunio Hatoyama;2007;ML;Silent Lawyer;High;M_JAP_kunio_hatoyama;x
41563;Minister of Armament;Yasukazu Hamada;2007;ML;Laissez Faires Capitalist;High;Unknown;x
41564;Head of Government;Koaoru Yosano;2003;ML;Corporate Suit;High;M_JAP_koaoru_yosano;x
41565;Chief of Air Force;Tadashi Yoshida;2003;ML;Vertical Envelopment Doctrine;High;M_JAP_tadashi_yoshida;x
41566;Chief of Air Force;Toshio Tamogami;2003;SC;Air Superiority Doctrine;High;M_JAP_toshio_tamogami;x
