JOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
42001;Head of State;Abdullah II;1003;SD;Autocratic Charmer;High;M_JOR_abdullah_ii;x
42002;Head of Government;Ali Abu al-Ragheb;1003;SD;Silent Workhorse;High;M_JOR_ali_abu_al-ragheb;x
42003;Foreign Minister;Marwan Muasher;1003;SD;Apologetic Clerk;High;M_JOR_marwan_muasher;x
42004;Minister of Armament;Ali Abu al-Ragheb;1003;SD;Resource Industrialist;High;M_JOR_ali_abu_al-ragheb;x
42005;Minister of Security;Ghaftan al-Majali;1003;SL;Compassionate Gentleman;High;Unknown;x
42006;Head of Military Intelligence;Mohammad Affash al-Udwan;1003;NA;Dismal Enigma;High;M_JOR_mohammad_affash_al-udwan;x
42007;Chief of Staff;Abd Khalaf al-Najada;1003;NA;School of Defence;High;Unknown;x
42008;Chief of Army;Khalid Sarayrah;1003;NA;Guns and Butter Doctrine;High;Unknown;x
42009;Chief of Navy;Ali Mahmoud al-Khasawna;1003;NA;Base Control Doctrine;High;Unknown;x
42010;Chief of Air Force;Faisal bin Hussein;1003;NA;Army Aviation Doctrine;High;M_JOR_faisal_bin_hussein;x
;Replacements;;;;;;;
42011;Head of Government;Faisal al-Fayez;1003;SD;Silent Workhorse;High;M_JOR_faisal_al-fayez;x
42012;Minister of Armament;Faisal al-Fayez;1003;SD;Administrative Genius;High;M_JOR_faisal_al-fayez;x
42013;Head of Government;Adnan Badran;1003;SD;Naive Optimist;High;M_JOR_adnan_badran;x
42014;Minister of Armament;Adnan Badran;1003;SD;Theoretical Scientist;High;M_JOR_adnan_badran;x
42015;Head of Government;Marouf al-Bakhit;1005;SD;Flamboyant Tough Guy;High;M_JOR_marouf_al-bakhit;x
42016;Minister of Armament;Marouf al-Bakhit;1005;SD;Resource Industrialist;High;M_JOR_marouf_al-bakhit;x
42017;Head of Government;Nader al-Dahabi;1007;SD;Old Air Marshal;High;Unknown;x
42018;Minister of Armament;Nader al-Dahabi;1003;SD;Air Superiority Proponent;High;Unknown;x
42019;Chief of Air Force;Hussein Ahmad Shodash;1005;NA;Army Aviation Doctrine;High;Unknown;x
42020;Head of State;Hamzeh Mansour;1003;FA;Stern Imperialist;High;M_JOR_hamzeh_mansour;x
42021;Head of Government;Zuheir Abu Ragheb;1003;FA;Backroom Backstabber;High;M_JOR_zuheir_abu_ragheb;x
42022;Minister of Security;Abdallah Akayleh;1003;FA;Silent Lawyer;High;M_JOR_abdallah_akayleh;x
42023;Minister of Armament;Azzam Huneidi;1003;FA;Administrative Genius;High;M_JOR_azzam_huneidi;x
42024;Foreign Minister;Tayseer Fityani;1003;FA;Biased Intellectual;High;M_JOR_tayseer_fityani;x
42025;Foreign Minister;Mohammad Hassan Bzour;1003;FA;Ideological Crusader;High;M_JOR_mohammad_hassan_bzour;x
42026;Minister of Security;Mohammad Khalil Aqel;1003;FA;Crime Fighter;High;M_JOR_mohammad_khalil_aqel;x
42027;Foreign Minister;Badr Mohammad Riati;1003;FA;Ideological Crusader;High;M_JOR_badr_mohammad_riati;x
