KAZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
42501;Head of State;Nursultan Nazarbayev;2003;SD;Autocratic Charmer;High;M_KAZ_nursultan_nazarbayev;x
42502;Head of Government;Daniyal Akhmetov;2003;SD;Corporate Suit;High;M_KAZ_daniyal_akhmetov;x
42503;Foreign Minister;Kassymzhomart Tokaev;2003;SD;General Staffer;High;Unknown;x
42504;Minister of Armament;Mukhtar Altynbaev;2003;SD;Laissez Faires Capitalist;High;Unknown;x
42505;Minister of Security;Onalsyn Zhumabekov;2003;SD;Man of the People;High;Unknown;x
42506;Head of Military Intelligence;Onalsyn Zhumabekov;2003;SD;Logistics Specialist;High;Unknown;x
42507;Chief of Staff;Mukhtar Altynbaev;2003;SD;School of Fire Support;High;Unknown;x
42508;Chief of Army;Mukhtar Altynbaev;2003;SD;Guns and Butter Doctrine;High;Unknown;x
42509;Chief of Navy;Unknown;2003;SD;Decisive Naval Battle Doctrine;High;Unknown;x
42510;Chief of Air Force;Mukhtar Altynbaev;2003;SD;Army Aviation Doctrine;High;Unknown;x
