KUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
591901;Head of State;Massoud Barzani;2003;SD;Die-hard Reformer;High;M_KUR_massoud_barzani;x
591902;Head of Government;Nechervan Idris Barzani;2003;SD;Flamboyant Tough Guy;High;M_KUR_nechervan_idris_barzani;x
591903;Minister of Armament;Omer Fattah Hussain;2003;ML;Administrative Genius;High;M_KUR_omer_fattah_hussain;x
591904;Foreign Minister;Hoshyar Zebari;2003;SC;Apologetic Clerk;High;M_KUR_hoshyar_zebari;x 
591905;Chief of Navy;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
591906;Chief of Army;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
591907;Chief of Air Force;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
591908;Head of Military Intelligence;Masrour Barzani;2003;SD;Political Specialist;High;M_KUR_masrour_barzani;x
591909;Chief of Staff;Undistinguished Suit;2003;ML;Undistinguished Suit;High;Unknown;x
591910;Minister of Security;Osman Hadji Mahmoud;2003;SD;Man of the People;High;Unknown;x
;Replacements;;;;;;;x
591911;Minister of Security;Abdul Karim Sinjari;2003;SD;Silent Lawyer;High;M_KUR_adbul_karim_sinjari;x
591912;Head of State;Salaheddine Bahaaeddin;2003;SC;Benevolent Gentleman;High;Unknown;x
591913;Foreign Minister;Mohammad Tufik Rahim;2003;SD;Apologetic Clerk;High;Unknown;x
591914;Minister of Armament;Barham Salih;2003;SD;Theoretical Scientist;High;M_KUR_barham_salih;x
591915;Foreign Minister;Widad Akrawi;2003;SD;Ideological Crusader;High;M_KUR_widad_akrawi;x
591916;Foreign Minister;Qubad Talabani;2007;SD;Great Compromiser;High;M_KUR_qubad_talabani;x
591917;Foreign Minister;Howar Ziad;2003;SD;Biased Intellectual;High;M_KUR_howar_ziad;x
