KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17601;Head of State;Askar Akayevich Akayev;2003;SD;Weary Stiffneck;High;M_KYG_askar_akayevich_akayev;x
17602;Head of Government;Kurmanbek Saliyevich Bakiyev;2003;SD;Backroom Backstabber;High;M_KYG_kurmanbek_saliyevich_bakiyev;x
17603;Minister of Armament;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17604;Foreign Minister;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17605;Chief of Navy;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17606;Chief of Army;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17607;Chief of Air Force;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17608;Head of Military Intelligence;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17609;Chief of Staff;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
17610;Minister of Security;Undistinguished suit;2003;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
