LAO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
45501;Head of State;Khamtay Siphandone;2003;ST;Weary Stiffneck;High;M_LAO_khamtay_siphandone;x
45502;Head of Government;Boungnang Vorachith;2003;ST;Silent Workhorse;High;M_LAO_boungnang_vorachith;x
45503;Minister of Armament;Douangchay Phichit;2003;ST;Military Entrepreneur;High;M_LAO_douangchay_phichit;x
45504;Foreign Minister;Somsavat Lengsavad;2003;ST;Ideological Crusader;High;M_LAO_somsavat_lengsavad;x
45505;Chief of Navy;Undistinguished suit;2003;ST;Undistinguished suit;High;Unknown;x
45506;Chief of Army;Undistinguished suit;2003;ST;Undistinguished suit;High;Unknown;x
45507;Chief of Air Force;Undistinguished suit;2003;ST;Undistinguished suit;High;Unknown;x
45508;Head of Military Intelligence;Undistinguished suit;2003;ST;Undistinguished suit;High;Unknown;x
45509;Chief of Staff;Undistinguished suit;2003;ST;Undistinguished suit;High;Unknown;x
45510;Minister of Security;Thongbanh Sengaphone;2003;ST;Prince of Terror;High;M_LAO_thongbanh_sengaphone;x
;Replacements;;;;;;;x
45511;Head of State;Choummaly Sayasone;2003;ST;Weary Stiffneck;High;M_LAO_choummaly_sayasone;x
45512;Head of Government;Bouasone Bouphavanh;2003;ST;Flamboyant Tough Guy;High;M_LAO_bouasone_bouphavanh;x
45513;Foreign Minister;Thongloun Sisoulith;2003;ST;Apologetic Clerk;High;M_LAO_thongloun_sisoulith;x
45514;Head of State;Zong Zoua Her;2003;ML;Weary Stiffneck;High;Unknown;x
45515;Head of Government;Bounlet Saycocie;2003;SC;Old General;High;Unknown;x
