LBY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
48001;Head of State;Muammar al-Qaddafi;2003;FA;Ruthless Powermonger;High;M_LBY_muammar_al-qaddafi;x
48002;Head of Government;Muammar al-Qaddafi;2003;FA;Old General;High;M_LBY_muammar_al-qaddafi;x
48003;Foreign Minister;Abd al-Rahman Shalgam;2003;FA;Iron Fisted Brute;High;M_LBY_abd_al-rahman_shalgam;x
48004;Minister of Armament;Abu-Bakr Yunis Jaber;2003;FA;Laissez faires capitalist;High;Unknown;x
48005;Minister of Security;Mohamed Ali al-Masirati;2003;FA;Prince of Terror;High;Unknown;x
48006;Head of Military Intelligence;Unknown;2003;FA;Technical Specialist;High;Unknown;x
48007;Chief of Staff;Ahmed Abdallah Awn;2003;FA;School of Fire Support;High;Unknown;x
48008;Chief of Army;Abu-Bakr Yunis Jaber;2003;FA;Elastic Defence Doctrine;High;Unknown;x
48009;Chief of Navy;Ahmed Abdallah Awn;2003;FA;Open Seas Doctrine;High;Unknown;x
48010;Chief of Air Force;Ali Riffi al-Sharif;2003;FA;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
48011;Chief of Staff;Mustapha al-Kharrubi;2003;FA;School of Defence;High;Unknown;x
