LEB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
47001;Head of State;Emile Lahoud;2003;SC;Weary Stiffneck;High;M_LEB_emile_lahoud;x
47002;Head of Government;Rafiq al-Hariri;2003;ML;Corporate Suit;High;M_LEB_rafiq_al-hariri;x
47003;Foreign Minister;Jean Obeid;2003;ML;Iron Fisted Brute;High;M_LEB_jean_obeid;x
47004;Minister of Armament;Mahmoud Hammoud;2003;ML;Infantry Proponent;High;M_LEB_mahmoud_hammoud;x
47005;Minister of Security;Elias Murr;2003;ML;Crime Fighter;High;M_LEB_elias_murr;x
47006;Head of Military Intelligence;Michel Samaha;2003;SC;Logistics Specialist;High;M_LEB_michel_samaha;x
47007;Chief of Staff;Michel Sulayman;2003;ML;School of Psychology;High;Unknown;x
47008;Chief of Army;Fady Abu-Shakra;2003;ML;Static Defence Doctrine;High;Unknown;x
47009;Chief of Navy;George Maalouf;2003;ML;Indirect Approach Doctrine;High;Unknown;x
47010;Chief of Air Force;George Shaaban;2003;SC;Vertical Envelopement Doctrine;High;Unknown;x
