LIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
47501;Head of State;Charles Taylor;2003;PA;Ruthless Powermonger;High;M_LIB_charles_taylor;x
47502;Head of Government;Charles Taylor;2003;PA;Old General;High;M_LIB_charles_taylor;x
47503;Foreign Minister;Lewis Brown;2003;PA;Iron-fisted Brute;High;M_LIB_lewis_brown;x
47504;Minister of Armament;Daniel Chea;2003;PA;Corrupt Kleptocrat;High;M_LIB_daniel_chea;x
47505;Minister of Security;Ambullai Johnson;2003;PA;Man of the People;High;M_LIB_ambullai_johnson;x
47506;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
47507;Chief of Staff;Kpenkpah Konah;2003;NA;School of Mass Combat;High;Unknown;x
47508;Chief of Army;John Tarnue;2003;NA;Elastic Defence Doctrine;High;Unknown;x
47509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
47510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
47511;Head of State;Moses Blah;2003;PA;Benevolent Gentleman;High;M_LIB_moses_blah;x
47512;Head of Government;Moses Blah;2003;PA;Happy Amateur;High;M_LIB_moses_blah;x
47513;Head of State;Gyude Bryant;2003;ML;Autocratic Charmer;High;M_LIB_gyude_bryant;x
47514;Head of Government;Gyude Bryant;2003;ML;Naive Optimist;High;M_LIB_gyude_bryant;x
47515;Head of State;Ellen Johnson-Sirleaf;2003;ML;Popular Figurehead;High;M_LIB_ellen_johnson-sirleaf;x
47516;Head of Government;Ellen Johnson-Sirleaf;2003;ML;Silent Workhorse;High;M_LIB_ellen_johnson-sirleaf;x
47517;Foreign Minister;Olubanke King Akerele;2003;ML;Ideological Crusader;High;M_LIB_olubanke_king_akerele;x
47518;Foreign Minister;Lawrence Bropleh;2003;ML;Apologetic Clerk;High;M_LIB_lawrence_bropleh;x
47519;Foreign Minister;George Wallace;2003;ML;Great Compromiser;High;M_LIB_george_wallace;x
47520;Foreign Minister;Thomas Nimely;2003;SL;Biased Intellectual;High;M_LIB_thomas_nemely;x
47521;Minister of Armament;Brownie Samukai;2003;ML;Military Entrepreneur;High;M_LIB_brownie_samukai;x
