LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
48501;Head of State;Rolandas Paksas;2003;ML;Popular Figurehead;Medium;M_LIT_rolandas_paksas;x
48502;Head of Government;Algirdas Mykolas Brazauskas;2003;SC;Man of the People;High;M_LIT_algirdas_mykolas_brazauskas;x
48503;Foreign Minister;Antanas Valionis;2003;SC;Benevolent Gentleman;High;M_LIT_antanas_valionis;x
48504;Minister of Armament;Linas Linkevièius;2003;SC;Military Entrepreneur;High;M_LIT_linas_linkevièius;x
48505;Minister of Security;Vilija Blinkeviciute;2003;SC;Man of the People;High;M_LIT_vilija_blinkeviciute;x
48506;Head of Military Intelligence;Remigijus Motuzas;2003;SC;Industrial Specialist;High;M_LIT_remigijus_motuzas;x
48507;Chief of Staff;Valdas Tutkus;2003;SC;School of Psychology;High;M_LIT_valdas_tutkus;x
48508;Chief of Army;Jonas Žukas;2003;SC;Guns and Butter Doctrine;High;M_LIT_jonas_žukas;x
48509;Chief of Navy;Kêstutis Macijauskas;2003;SC;Indirect Approach Doctrine;High;M_LIT_kêstutis_macijauskas;x
48510;Chief of Air Force;Ovidijus Eitminavièius;2003;SC;Naval Aviation Doctrine;High;M_LIT_ovidijus_eitminavièius;x
;Replacements;;;;;;;x
48511;Head of State;Arturas Paulauskas;2003;SC;Benevolent Gentleman;Medium;M_LIT_arturas_paulauskas;x
48512;Head of State;Valdas Adamkus;2003;SC;Benevolent Gentleman;High;M_LIT_valdas_adamkus;x
48513;Head of State;Kazimiera Prunskiene;2003;SL;Die-hard Reformer;Medium;M_LIT_kazimiera_prunskiene;x
48514;Head of Government;Gediminas Vagnorius;2003;ML;Backroom Backstabber;Medium;M_LIT_gediminas_vagnorius;x
48515;Head of Government;Gediminas Kirkilas;2003;SC;Silent Workhorse;High;M_LIT_gediminas_kirkilas;x
48516;Foreign Minister;Petras Vaitiekunas;2003;SC;Biased Intellectual;Medium;M_LIT_petras_vaitiekunas;x
48517;Minister of Armament;Algirdas Butkevicius;2003;SC;Resource Industrialist;Medium;M_LIT_algirdas_butkevicius;x
48518;Minister of Armament;Virgilijus Bulovas;2003;SC;Military Entrepreneur;High;M_LIT_virgilijus_bulovas;x
48519;Minister of Armament;Vytas Navickas;2003;SC;Resource Industrialist;Medium;M_LIT_vytas_navickas;x
48520;Minister of Armament;Rimantas Sadzius;2003;SC;Theoretical Scientist;Medium;M_LIT_rimantas_sadzius;x
48521;Minister of Armament;Valdemar Tomaszewski;2003;PA;Laissez Faires Capitalist;Medium;M_LIT_valdemar_tomaszewski;x
48522;Minister of Armament;Kestutis Dauksys;2003;PA;Theoretical Scientist;Medium;M_LIT_kestutis_dauksys;x
48523;Minister of Armament;Valentinas Stundys;2003;PA;Tank Proponent;Medium;M_LIT_valentinas_stundys;x
48524;Minister of Armament;Valentinas Mazuronis;2003;ML;Resource Industrialist;Medium;M_LIT_valentinas_mazuronis;x
48525;Minister of Security;Regimantas Ciupaila;2003;SC;Silent Lawyer;Medium;M_LIT_regimantas_ciupaila;x
48526;Minister of Security;Klemas Inta;2003;PA;Crime Fighter;Medium;M_LIT_klemas_inta;x
48527;Chief of Staff;Vygantas Bukauskas;2003;SC;Static Defence Doctrine;Medium;M_LIT_vygantas_bukauskas;x
48528;Chief of Staff;Arvydas Pocius;2003;PA;Static Defence Doctrine;Medium;M_LIT_arvydas_pocius;x
48529;Chief of Army;Valdas Tutkus;2003;SC;Guns and Butter Doctrine;High;M_LIT_valdas_tutkus;x
48530;Chief of Army;Arvydas Pocius;2003;SC;Armoured Spearhead Doctrine;Medium;M_LIT_arvydas_pocius;x
48531;Chief of Navy;Artûras Stankaitis;2003;SC;Base Control Doctrine;Medium;M_LIT_artûras_stankaitis;x
48532;Chief of Air;Edvardas Mazeikis;2003;SL;Air Superiority Doctrine;High;M_LIT_edvardas_mazeikis;x
48533;Chief of Air Force;Sigitas Gudeika;2003;SC;Naval Aviation Doctrine;High;M_LIT_sigitas_gudeika;x
48534;Chief of Air Force;Vidmantas Raklevièius;2003;SC;Air Superiority Doctrine;Medium;M_LIT_vidmantas_raklevièius;x
