MAD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
49501;Head of State;Marc Ravalomanana;2003;SL;Weary Stiffneck;High;M_MAD_marc_ravalomanana;x
49502;Head of Government;Jacques Sylla;2003;SL;Silent Workhorse;High;M_MAD_jacques_sylla;x
49503;Foreign Minister;Marcel Ranjeva;2003;SL;Biased Intellectual;High;M_MAD_marcel_ranjeva;x
49504;Minister of Armament;Cecile Manorohanta;2003;SL;Corrupt Kleptocrat;High;M_MAD_cecile_monorohanta;x
49505;Minister of Security;Undistinguished Suit;2003;SL;Undistinguished Suit;High;Unknown;x
49506;Head of Military Intelligence;Undistinguished Suit;2003;SL;Undistinguished Suit;High;Unknown;x
49507;Chief of Staff;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
49508;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
49509;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
49510;Chief of Navy;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
49511;Head of Government;Charles Rabemananjara;2003;SL;Old General;High;M_MAD_charles_rabemananjara;x
