MAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
51001;Head of State;Amadou Toumani Touré;2003;ML;Resigned Generalissimo;High;M_MAL_amadou_toumani_touré;x
51002;Head of Government;Amadou Toumani Touré;2003;ML;Flamboyant Tough Guy;High;M_MAL_amadou_toumani_touré;x
51003;Foreign Minister;Lassana Traoré;2003;ML;Ideological Crusader;High;M_MAL_lassana_traoré;x
51004;Minister of Armament;Natia Plea;2003;ML;Corrupt Kleptocrat;High;M_MAL_natia_plea;x
51005;Minister of Security;Sadio Gassama;2003;ML;Silent Lawyer;High;M_MAL_sadio_gassama;x
51006;Head of Military Intelligence;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
51007;Chief of Staff;Gabriel Podiougou;2003;NA;School of Fire Support;High;M_MAL_gabriel_podiogou;x
51008;Chief of Army;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
51009;Chief of Air Force;Undistinguished Suit;2003;NA;Undistinguished Suit;High;Unknown;x
51010;Chief of Navy;N/A;2003;NA;Undistinguished Suit;High;Unknown;x
51011;Head of State;Soumaila Cissé;2003;SL;Benevolent Gentleman;High;M_MAL_soumaila_cissé;x
51012;Head of Government;Soumaila Cissé;2003;SL;Naive Optimist;High;M_MAL_soumaila_cissé;x
51013;Foreign Minister;Moctar Ouane;2003;ML;Great Compromiser;High;M_MAL_moctar_ouane;x
