MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
511001;Head of State;Guido de Marco;1003;ML;Benevolent Gentleman;High;M_MAN_guido_de_marco;x
511002;Head of Government;Edward Fenech Adami;1003;ML;Silent Workhorse;High;M_MAN_edward_fenech_adami;x
511003;Minister of Armament;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511004;Foreign Minister;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511005;Chief of Navy;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511006;Chief of Army;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511007;Chief of Air Force;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511008;Head of Military Intelligence;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511009;Chief of Staff;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
511010;Minister of Security;Undistinguished suit;1003;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
