MEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
52501;Head of State;Maaouya Taya;1003;ML;Autocratic Charmer;High;M_MEN_maaouya_taya;x
52502;Head of Government;Cheikh El Avia Khouna;1003;ML;Naive Optimist;High;M_MEN_cheikh_el_avia_khouna;x
52503;Foreign Minister;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52504;Minister of Armament;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52505;Minister of Security;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52506;Head of Military Intelligence;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52507;Chief of Staff;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52508;Chief of Army;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52509;Chief of Navy;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
52510;Chief of Air Force;Undistinguished Suit;1003;NA;Undistinguished Suit;High;Unknown;x
