MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
53501;Head of State;Vicente Fox;1003;ML;Barking Buffoon;High;M_MEX_vicente_fox;x 
53502;Head of Government;Vicente Fox;1003;ML;Political Protege;High;M_MEX_vicente_fox;x 
53503;Foreign Minister;Ernesto Derbez;1003;ML;Great Compromiser;High;M_MEX_ernesto_derbez;x 
53504;Minister of Armament;Gerardo Vega García;1003;NA;Infantry Proponent;High;M_MEX_gerardo_vega_garcía;x 
53505;Minister of Security;Santiago Creel;1003;ML;Crime Fighter;High;M_MEX_santiago_creel;x 
53506;Head of Military Intelligence;Guillermo Valdés Castellanos;1003;ML;Dismal Enigma;High;M_MEX_guillermo_valdés_castellanos;x 
53507;Chief of Staff;Miguel Godínez;1003;ML;School of Psychology;High;M_MEX_miguel_godínez;x 
53508;Chief of Army;José Luis Quilo Ayuso;1003;ML;Guns and Butter Doctrine;High;Unknown;x 
53509;Chief of Navy;Alberto Castro Rosas;1003;ML;Open Seas Doctrine;High;M_MEX_alberto_castro_rosas;x 
53510;Chief of Air Force;Astra Ken Pennie;1003;ML;Air Superiority Doctrine;High;Unknown;x
53511;Head of State;Felipe Calderón;1006;ML;Die Hard Reformer;High;M_MEX_felipe_calderón;x
53512;Head of Government;Felipe Calderón;1006;ML;Flamboyant Tough Guy;High;M_MEX_felipe_calderón;x
53513;Head of State;Andrés Obrador;1003;SL;Popular Figurehead;High;M_MEX_andrés_obrador;x
53514;Head of Government;Andrés Obrador;1003;SL;Silent Workhorse;High;M_MEX_andrés_obrador;x
53515;Head of State;Roberto Madrazo;1003;SC;Barking Buffoon;High;M_MEX_roberto_madrazo;x
53516;Head of Government;Roberto Madrazo;1003;SC;Pig Headed Isolationist;High;M_MEX_roberto_madrazo;x
53517;Minister of Security;Alejandro Gertz;1003;ML;Crime Fighter;High;Unknown;x 
53518;Minister of Security;Carlos Carranza;1003;ML;Silent Lawyer;High;M_MEX_carlos_carranza;x
53519;Minister of Security;Francisco Acuna;1006;ML;Compassionate Gentleman;High;M_MEX_francisco_acuna;x
53520;Minister of Security;Juan Camilo Terrazo;1008;ML;Man of the People;High;M_MEX_juan_camilo_terrazo;x
53521;Minister of Security;Fernando Gómez-Mont;1006;ML;Crooked Kleptocrat;High;M_MEX_fernando_gómez-mont;x
53522;Foreign Minister;Patricia Espinosa;1006;ML;Apologetic Clerk;High;M_MEX_patricia_espinosa;x
53523;Minister of Armament;Guillermo Galván;1006;NA;Air Superiority Proponent;High;M_MEX_guillermo_galván;x
53524;Minister of Security;Silvano Conejo;1003;SL;Crime Fighter;High;M_MEX_silvano_conejo;x
53525;Minister of Security;Diana Bernal;1003;SL;Silent Lawyer;High;M_MEX_diana_bernal;x
53526;Foreign Minister;Raymundo Cardenas;1003;SL;The Cloak N Dagger Schemer;High;M_MEX_raymundo_cardenas;x
53527;Head of State;Marcelo Ebrard;1012;SL;Benevolent Gentleman;High;M_MEX_marcelo_ebrard;x
53528;Head of Government;Marcelo Ebrard;1012;SL;Naive Optimist;High;M_MEX_marcelo_ebrard;x
53529;Foreign Minister;Jose Marquez;1003;SL;Biased Intellectual;High;M_MEX_jose_marquez;x
53530;Minister of Security;Juan Nicasio Guerra;1003;SL;Crime Fighter;High;M_MEX_juan_nicasio_guerra;x
53531;Foreign Minister;César Zubieta;1003;SL;Iron Fisted Brute;High;M_MEX_césar_zubieta;x
53532;Minister of Security;Roberto Campa;1006;SL;Compassionate Gentleman;High;M_MEX_roberto_campa;x
53533;Head of State;Alberto Anaya;1003;LWR;Weary Stiffneck;High;M_MEX_alberto_anaya;x
53534;Head of Government;Alberto Anaya;1003;LWR;Ambitious Union Boss;High;M_MEX_alberto_anaya;x
53535;Foreign Minister;Cecilia Soto González;1003;LWR;Apologetic Clerk;High;M_MEX_cecilia_soto_gonzález;x
