MLY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
77401;Head of State;Tuanku Syed Sirajuddin;1003;SD SL ML SC PA FA;Popular Figurehead;High;M_MLY_tuanku_syed_sirajuddin;x
77402;Head of Government;Mahathir bin Mohamad;1003;ML;Corporate Suit;High;M_MLY_mahathir_bin_mohamad;x
77403;Minister of Armament;Ahmad Zahid Hamidi;1003;ML;Administrative Genius;High;M_MLY_ahmad_zahid_hamidi;x
77404;Foreign Minister;Syed Hamid Albar;1003;ML;Great Compromiser;High;M_MLY_syed_hamid_albar;x
77405;Chief of Navy;Abdul Aziz Jaafar;1003;NA;Base Control Doctrine;High;M_MLY_abdul_aziz_jaafar;x
77406;Chief of Army;Tan Sri Ismail;1003;NA;Elastic Defence Doctrine;High;M_MLY_tan_sri_ismail;x
77407;Chief of Air Force;Sri bin Arrifin;1003;NA;Army Aviation Doctrine;High;M_MLY_sri_bin_arrifin;x
77408;Head of Military Intelligence;Tuanku Ismail Petra;1003;NA;Logistics Specialist;High;Unknown;x
77409;Chief of Staff;Tan Sri Azizan;1003;NA;School of Defence;High;M_MLY_tan_sri_azizan;x
77410;Minister of Security;Azmi Khalid;1003;ML;Silent Lawyer;High;M_MLY_azmi_khalid;x
77411;Head of State;Mizan Zainal Abidin;1003;SD SL ML SC PA FA;Popular Figurehead;High;M_MLY_mizan_zainal_abdin;x
77412;Head of Government;Abdullah Ahmad Babi;1003;ML;Silent Workhorse;High;M_MLY_abdullah_ahmad_babi;x
77413;Head of Government;Najib Rojak;1003;ML;Naive Optimist;High;M_MLY_najib_rojak;x
77414;Foreign Minister;Rais Yatim;1003;ML;Ideological Crusader;High;M_MLY_rais_yatim;x
77415;Foreign Minister;Anifah Aman;1003;ML;Apologetic Clerk;High;M_MLY_anifah_aman;x
77416;Minister of Security;Mohd Radzi Ahmad;1003;ML;Man of the People;High;M_MLY_mohd_radzi_ahmad;x
77417;Minister of Security;Syed Hamid Albar;1008;ML;Man of the People;High;M_MLY_syed_hamid_albar;x
77418;Minister of Security;Hishammuddin Hussein;1008;ML;Crime Fighter;High;M_MLY_hishammuddin_hussein;x
77419;Chief of Air Force;Rodzali bin Daud;1007;NA;Vertical Envelopment Doctrine;High;M_MLY_rodzali_bin_daud;x
